Class,F1,Precision,Recall,Support,FNR,FPR,Accuracy,Loss,AUC,Time_Seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
GLOBAL,0.7119842967319063,0.6455265122516259,0.7959753379955624,415538,0.0005801480586173738,0.0,0.7959753379955624,2.3944396277300184,0.6543633460757291,283.9798367023468,7958.36328125,265.0,412.8203125,0.0
Attack_BENIGN,0.9066515826289248,0.8312928787648578,0.9970352302953205,285351,0.00296476970466911,0.4435081843775223,,,,,,,,
Attack_Bot,0.0,0.0,0.0,580,0.9999999982758621,0.0,,,,,,,,
Attack_DDoS,0.0,0.0,0.0,24300,0.9999999999588477,0.0,,,,,,,,
Attack_DoS GoldenEye,0.0,0.0,0.0,2369,0.999999999577881,0.0,,,,,,,,
Attack_DoS Hulk,0.7553606715333235,0.6310612055557071,0.9406369478565036,49172,0.05936305214228905,0.07380870495604448,,,,,,,,
Attack_DoS Slowhttptest,0.0,0.0,0.0,666,0.9999999984984985,0.0,,,,,,,,
Attack_DoS slowloris,0.0,0.0,0.0,1226,0.9999999991843392,0.0,,,,,,,,
Attack_FTP-Patator,0.0,0.0,0.0,1971,0.9999999994926433,0.0,,,,,,,,
Attack_Heartbleed,0.0,0.0,0.0,3,0.9999996666667778,0.0,,,,,,,,
Attack_Infiltration,0.0,0.0,0.0,9,0.9999998888889013,0.0,,,,,,,,
Attack_PortScan,0.0,0.0,0.0,47457,0.9999999999789283,0.0,,,,,,,,
Attack_SSH-Patator,0.0,0.0,0.0,1809,0.9999999994472083,0.0,,,,,,,,
Attack_Web Attack � Brute Force,0.0,0.0,0.0,429,0.9999999976689977,0.0,,,,,,,,
Attack_Web Attack � Sql Injection,0.0,0.0,0.0,4,0.9999997500000625,0.0,,,,,,,,
Attack_Web Attack � XSS,0.0,0.0,0.0,192,0.9999999947916667,0.0,,,,,,,,
MACRO AVG,0.1108008169441499,0.09749027228803767,0.1291781452101216,415538,0.8708218076185049,0.034487792622237785,,,,,,,,
WEIGHTED AVG,0.7119842967319063,0.6455265122516259,0.7959753379955624,415538,0.8708218076185049,0.034487792622237785,,,,,,,,
