Class,F1,Precision,Recall,Support,FNR,FPR,Accuracy,Loss,AUC,Time_Seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
GLOBAL,0.9993776878002539,0.9993812720943185,0.9993791181552589,415538,0.00014927457372442644,0.3010204066274469,0.9993791181552589,0.02237885000744461,0.9470404060582901,46.84007740020752,7837.3984375,265.0,266.671875,0.0
Attack_BENIGN,0.9997722047773915,0.9997967315840568,0.9997476791740698,285351,0.00025232082592928595,0.00044551299284532626,,,,,,,,
Attack_Bot,0.9778156996587031,0.9679054054054054,0.9879310344827587,580,0.012068965496432818,4.5787766472641114e-05,,,,,,,,
Attack_DDoS,0.9997942386831276,0.9997942386831276,0.9997942386831276,24300,0.00020576131686396044,1.2779944688366723e-05,,,,,,,,
Attack_DoS GoldenEye,0.9976807927472064,0.9966301600673968,0.9987336428872943,2369,0.0012663571121712296,1.93625368795351e-05,,,,,,,,
Attack_DoS Hulk,0.999745756678972,0.9998779470697126,0.999613601236476,49172,0.00038639876351609863,1.6377065557348723e-05,,,,,,,,
Attack_DoS Slowhttptest,0.9932279909706545,0.995475113122172,0.990990990990991,666,0.009009008995481968,7.231145991999385e-06,,,,,,,,
Attack_DoS slowloris,0.9918633034987795,0.989448051948052,0.9942903752039152,1226,0.0057096247914277115,3.1377319507927895e-05,,,,,,,,
Attack_FTP-Patator,1.0,1.0,1.0,1971,0.0,0.0,,,,,,,,
Attack_Heartbleed,1.0,1.0,1.0,3,0.0,0.0,,,,,,,,
Attack_Infiltration,0.6,0.5454545454545454,0.6666666666666666,9,0.33333329629630043,1.2032854505914069e-05,,,,,,,,
Attack_PortScan,0.999810374615482,0.9997050582509954,0.9999157131719241,47457,8.428682807416636e-05,3.803510640310683e-05,,,,,,,,
Attack_SSH-Patator,0.9994469026548672,1.0,0.9988944168048646,1809,0.0011055831945242767,0.0,,,,,,,,
Attack_Web Attack � Brute Force,0.8455284552845528,0.8425925925925926,0.8484848484848485,429,0.15151515116196934,0.00016381239626179193,,,,,,,,
Attack_Web Attack � Sql Injection,0.4,1.0,0.25,4,0.7499998125000469,0.0,,,,,,,,
Attack_Web Attack � XSS,0.6824146981627297,0.6878306878306878,0.6770833333333334,192,0.32291666498480903,0.00014205024244812265,,,,,,,,
MACRO AVG,0.8991400278488311,0.9349673688005831,0.8941431027413512,415538,0.10585688215116981,6.229062477080539e-05,,,,,,,,
WEIGHTED AVG,0.9993776878002539,0.9993812720943185,0.9993791181552589,415538,0.10585688215116981,6.229062477080539e-05,,,,,,,,
