Class,F1,Precision,Recall,Support,FNR,FPR,Accuracy,Loss,AUC,Time_Seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
GLOBAL,0.9864400021173155,0.9865108453733376,0.9864368601668199,415538,0.00024877806070124005,0.008673653775086075,0.9864368601668199,0.145387531588051,0.9550055968944109,0.46594834327697754,8205.6015625,267.875,512.296875,0.0
Attack_BENIGN,0.9909000516483556,0.9934620952998242,0.9883511885362238,285351,0.011648811463735368,0.01425641577105044,,,,,,,,
Attack_Bot,0.8815672306322351,0.9116022099447514,0.853448275862069,580,0.14655172388525564,0.00011567435740456703,,,,,,,,
Attack_DDoS,0.9928341981714851,0.993570722057369,0.9920987654320987,24300,0.00790123456757608,0.00039873427427704176,,,,,,,,
Attack_DoS GoldenEye,0.9910979228486647,0.9953171562366965,0.9869143098353735,2369,0.013085690159102707,2.662348820936076e-05,,,,,,,,
Attack_DoS Hulk,0.9907387726596423,0.986197029842626,0.9953225412836574,49172,0.00467745871624751,0.0018697149844639795,,,,,,,,
Attack_DoS Slowhttptest,0.9500000000000001,0.9587155963302753,0.9414414414414415,666,0.05855855847063279,6.508031392799446e-05,,,,,,,,
Attack_DoS slowloris,0.9551993423756678,0.9627174813587407,0.9477977161500816,1226,0.05220228380733908,0.00010861379829667349,,,,,,,,
Attack_FTP-Patator,0.9896123638206233,0.9883603238866396,0.9908675799086758,1971,0.009132420086690806,5.561372159757521e-05,,,,,,,,
Attack_Heartbleed,1.0,1.0,1.0,3,0.0,0.0,,,,,,,,
Attack_Infiltration,0.16666666666666666,0.3333333333333333,0.1111111111111111,9,0.8888887901234679,4.813141802365627e-06,,,,,,,,
Attack_PortScan,0.9587954140764112,0.947751976284585,0.9700992477400594,47457,0.029900752259310517,0.006895221432220366,,,,,,,,
Attack_SSH-Patator,0.968843131942563,0.9500531349628055,0.988391376451078,1809,0.011608623542504906,0.00022720186402155226,,,,,,,,
Attack_Web Attack � Brute Force,0.7651162790697674,0.7633410672853829,0.7668997668997669,429,0.23310023255687592,0.00024571859439268787,,,,,,,,
Attack_Web Attack � Sql Injection,0.3333333333333333,0.5,0.25,4,0.7499998125000469,2.406541943613744e-06,,,,,,,,
Attack_Web Attack � XSS,0.5454545454545454,0.6521739130434783,0.46875,192,0.531249997233073,0.00011556629894084555,,,,,,,,
MACRO AVG,0.8320106168466641,0.8624397359911007,0.8167662213767758,415538,0.18323375929145724,0.0016258265721699374,,,,,,,,
WEIGHTED AVG,0.9864400021173155,0.9865108453733376,0.9864368601668199,415538,0.18323375929145724,0.0016258265721699374,,,,,,,,
