Class,F1,Precision,Recall,Support,FNR,FPR,Accuracy,Loss,AUC,Time_Seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
GLOBAL,0.7810946691074854,0.7401991096861086,0.8355986696764195,415538,0.0005526531669601121,0.0,0.8355986696764195,0.659831740465771,0.7610069200209479,274.694730758667,8204.77734375,265.0,778.2265625,0.0
Attack_BENIGN,0.8981563293394326,0.8253993891695055,0.9849799019453235,285351,0.015020098054623884,0.45668922395894607,,,,,,,,
Attack_Bot,0.0,0.0,0.0,580,0.9999999982758621,0.0,,,,,,,,
Attack_DDoS,0.8410080274771357,0.8168981301885329,0.8665843621399177,24300,0.13341563785459196,0.012064267785818187,,,,,,,,
Attack_DoS GoldenEye,0.7002021109364474,0.7480806142034548,0.6580835795694386,2369,0.341916420286232,0.0012706664827194908,,,,,,,,
Attack_DoS Hulk,0.8888244205911742,0.9422283982960111,0.8411494346375986,49172,0.15885056535917086,0.006922039708906061,,,,,,,,
Attack_DoS Slowhttptest,0.368755676657584,0.4666666666666667,0.3048048048048048,666,0.6951951941513586,0.0005592086233812858,,,,,,,,
Attack_DoS slowloris,0.6526655896607431,0.6464,0.6590538336052202,1226,0.3409461661166834,0.0010668288632695484,,,,,,,,
Attack_FTP-Patator,0.7207207207207207,0.9294871794871795,0.5885337392186707,1971,0.4114662605725691,0.00021278293480811385,,,,,,,,
Attack_Heartbleed,0.0,0.0,0.0,3,0.9999996666667778,0.0,,,,,,,,
Attack_Infiltration,0.0,0.0,0.0,9,0.9999998888889013,0.00019733881389699074,,,,,,,,
Attack_PortScan,0.0,0.0,0.0,47457,0.9999999999789283,0.0005107571431274345,,,,,,,,
Attack_SSH-Patator,0.009873834339001646,0.6428571428571429,0.004975124378109453,1809,0.9950248750718491,1.2085205533061291e-05,,,,,,,,
Attack_Web Attack � Brute Force,0.0,0.0,0.0,429,0.9999999976689977,0.00010117824474993031,,,,,,,,
Attack_Web Attack � Sql Injection,0.0,0.0,0.0,4,0.9999997500000625,0.0,,,,,,,,
Attack_Web Attack � XSS,0.0,0.0,0.0,192,0.9999999947916667,0.0,,,,,,,,
MACRO AVG,0.3386804473148159,0.40120116805789957,0.3272109853532722,415538,0.6727889675825516,0.03197375851767707,,,,,,,,
WEIGHTED AVG,0.7810946691074854,0.7401991096861086,0.8355986696764195,415538,0.6727889675825516,0.03197375851767707,,,,,,,,
