Class,F1,Precision,Recall,Support,FNR,FPR,Accuracy,Loss,AUC,Time_Seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
GLOBAL,0.9994317094367378,0.999432718724295,0.9994465006810448,415538,0.0001877771518534862,0.26315789300554016,0.9994465006810448,0.00293231149080679,0.9958211018903983,418.96744179725647,7807.74609375,265.0,371.39453125,0.0
Attack_BENIGN,0.9998020242581603,0.999670667703713,0.9999334153376017,285351,6.658466239800602e-05,0.0007220382987493219,,,,,,,,
Attack_Bot,0.9567519858781995,0.9801084990958409,0.9344827586206896,580,0.06551724126634959,2.6508706905213278e-05,,,,,,,,
Attack_DDoS,0.9997941963366948,1.0,0.9995884773662551,24300,0.0004115226337279209,0.0,,,,,,,,
Attack_DoS GoldenEye,0.9989440337909186,0.9995773457311918,0.9983115238497257,2369,0.0016884761495616395,2.4203171099418876e-06,,,,,,,,
Attack_DoS Hulk,0.9998779669290376,0.9999796590862862,0.9997762954526966,49172,0.00022370454729879393,2.7295109262247876e-06,,,,,,,,
Attack_DoS Slowhttptest,0.9954751131221719,1.0,0.990990990990991,666,0.009009008995481968,0.0,,,,,,,,
Attack_DoS slowloris,0.9975470155355682,1.0,0.9951060358890701,1226,0.004893964106938039,0.0,,,,,,,,
Attack_FTP-Patator,1.0,1.0,1.0,1971,0.0,0.0,,,,,,,,
Attack_Heartbleed,1.0,1.0,1.0,3,0.0,0.0,,,,,,,,
Attack_Infiltration,0.8750000000000001,1.0,0.7777777777777778,9,0.22222219753086697,0.0,,,,,,,,
Attack_PortScan,0.9998946459048863,0.9998525104822907,0.999936784878943,47457,6.321512105562478e-05,1.9017553201553415e-05,,,,,,,,
Attack_SSH-Patator,0.9994469026548672,1.0,0.9988944168048646,1809,0.0011055831945242767,0.0,,,,,,,,
Attack_Web Attack � Brute Force,0.8600451467268623,0.8336980306345733,0.8881118881118881,429,0.11188811162730045,0.00018308444288082628,,,,,,,,
Attack_Web Attack � Sql Injection,0.4,1.0,0.25,4,0.7499998125000469,0.0,,,,,,,,
Attack_Web Attack � XSS,0.6589595375722545,0.7402597402597403,0.59375,192,0.4062499978841146,9.630524911737128e-05,,,,,,,,
MACRO AVG,0.9161025712473081,0.970209763532909,0.8951106910053669,415538,0.10488929468131097,7.014027192603018e-05,,,,,,,,
WEIGHTED AVG,0.9994317094367378,0.999432718724295,0.9994465006810448,415538,0.10488929468131097,7.014027192603018e-05,,,,,,,,
