Class,F1,Precision,Recall,Support,FNR,FPR,Accuracy,Loss,AUC,Time_Seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
GLOBAL,0.9996154649114388,0.9996183568689514,0.9996149569955094,415538,0.00011073024187309656,0.4912280658664205,0.9996149569955094,0.0010541726641856732,0.9999260017262465,118.2236921787262,7977.25390625,267.875,375.75,2.875
Attack_BENIGN,0.9998983754082506,0.9998528262614016,0.9999439287053489,285351,5.607129465095243e-05,0.00032261285688799487,,,,,,,,
Attack_Bot,0.9784668389319552,0.9776247848537005,0.9793103448275862,580,0.020689655136741973,3.132847179707024e-05,,,,,,,,
Attack_DDoS,0.9998765330479875,0.9999588409614751,0.9997942386831276,24300,0.00020576131686396044,2.5559889376733448e-06,,,,,,,,
Attack_DoS GoldenEye,0.9997889850179363,0.9995780590717299,1.0,2369,0.0,2.4203171099418876e-06,,,,,,,,
Attack_DoS Hulk,0.9999186479285729,0.9999796607411626,0.999857642560807,49172,0.0001423574391901416,2.7295109262247876e-06,,,,,,,,
Attack_DoS Slowhttptest,0.9947249434815373,0.9984871406959153,0.990990990990991,666,0.009009008995481968,2.4103819973331284e-06,,,,,,,,
Attack_DoS slowloris,0.997549019607843,0.9991816693944353,0.9959216965742251,1226,0.0040783034224483655,2.4136399621482998e-06,,,,,,,,
Attack_FTP-Patator,1.0,1.0,1.0,1971,0.0,0.0,,,,,,,,
Attack_Heartbleed,1.0,1.0,1.0,3,0.0,0.0,,,,,,,,
Attack_Infiltration,0.8,1.0,0.6666666666666666,9,0.33333329629630043,0.0,,,,,,,,
Attack_PortScan,0.999968391440402,1.0,0.999936784878943,47457,6.321512105562478e-05,0.0,,,,,,,,
Attack_SSH-Patator,1.0,1.0,1.0,1809,0.0,0.0,,,,,,,,
Attack_Web Attack � Brute Force,0.8804733727810652,0.8942307692307693,0.8671328671328671,429,0.13286713255741928,0.0001059962564046889,,,,,,,,
Attack_Web Attack � Sql Injection,1.0,1.0,1.0,4,0.0,0.0,,,,,,,,
Attack_Web Attack � XSS,0.7411167512690354,0.7227722772277227,0.7604166666666666,192,0.23958333208550348,0.0001348273487643198,,,,,,,,
MACRO AVG,0.9594521239276391,0.9727777352292208,0.9506647885124817,415538,0.049335208911043746,4.048631818582635e-05,,,,,,,,
WEIGHTED AVG,0.9996154649114388,0.9996183568689514,0.9996149569955094,415538,0.049335208911043746,4.048631818582635e-05,,,,,,,,
