Class,F1,Precision,Recall,Support,FNR,FPR,Accuracy,Loss,AUC,Time_Seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
GLOBAL,0.7990734048843142,0.8116717750599063,0.7881452711732305,1605081,0.115081508052792,0.6333141532132393,0.7881452711732305,6.918849137923205,0.7320317148120135,262.7300543785095,17612.87109375,265.0,1201.94140625,0.0
Attack_Benign,0.9918943806394602,0.9919687994231559,0.9918199730209141,753176,0.008180026979075036,0.00709938314717357,,,,,,,,
Attack_backdoor,0.9969944182052383,0.9965665236051502,0.9974226804123711,8148,0.0025773195873125525,1.753360973815587e-05,,,,,,,,
Attack_ddos,0.09574468085106383,0.07563025210084033,0.13043478260869565,69,0.8695652047889101,6.853531313157252e-05,,,,,,,,
Attack_dos,0.041237113402061855,0.038461538461538464,0.044444444444444446,45,0.9555555343209882,3.115194923974842e-05,,,,,,,,
Attack_injection,0.12561061403248022,0.10674379636412627,0.15257868447974965,83085,0.847421315510051,0.069700577399632,,,,,,,,
Attack_mitm,0.5547445255474452,0.6386554621848739,0.49032258064516127,155,0.5096774160665973,2.6792512551963895e-05,,,,,,,,
Attack_password,0.12642862987916315,0.1180941865896641,0.13602880034435194,102221,0.8639711996471962,0.06909492567500027,,,,,,,,
Attack_ransomware,0.9573233185387505,0.9622512010981469,0.9524456521739131,1472,0.04755434779378101,3.429763739163705e-05,,,,,,,,
Attack_scanning,0.037105285199765484,0.03390998162890386,0.04096541520251526,10814,0.9590345847088002,0.007916490776006832,,,,,,,,
Attack_xss,0.7773977303741314,0.8123943120027812,0.7452918116848533,645896,0.25470818831475234,0.11589526525110808,,,,,,,,
MACRO AVG,0.47044806966695607,0.47746760534591814,0.468175482501697,1605081,0.5318245137717463,0.026988495327097385,,,,,,,,
WEIGHTED AVG,0.7990734048843142,0.8116717750599063,0.7881452711732305,1605081,0.5318245137717463,0.026988495327097385,,,,,,,,
