Class,F1,Precision,Recall,Support,FNR,FPR,Accuracy,Loss,AUC,Time_Seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
GLOBAL,0.2997332032848303,0.2201907332959751,0.4692448543095333,1605081,0.4616603005417436,0.0,0.4692448543095333,2.3025850929940455,0.5,28.161347150802612,18772.6875,265.0,2656.30078125,0.0
Attack_Benign,0.6387565053342362,0.4692448543095333,1.0,753176,0.0,0.9999999999988262,,,,,,,,
Attack_backdoor,0.0,0.0,0.0,8148,0.9999999998772705,0.0,,,,,,,,
Attack_ddos,0.0,0.0,0.0,69,0.9999999855072467,0.0,,,,,,,,
Attack_dos,0.0,0.0,0.0,45,0.9999999777777784,0.0,,,,,,,,
Attack_injection,0.0,0.0,0.0,83085,0.9999999999879642,0.0,,,,,,,,
Attack_mitm,0.0,0.0,0.0,155,0.9999999935483872,0.0,,,,,,,,
Attack_password,0.0,0.0,0.0,102221,0.9999999999902174,0.0,,,,,,,,
Attack_ransomware,0.0,0.0,0.0,1472,0.9999999993206521,0.0,,,,,,,,
Attack_scanning,0.0,0.0,0.0,10814,0.9999999999075272,0.0,,,,,,,,
Attack_xss,0.0,0.0,0.0,645896,0.9999999999984518,0.0,,,,,,,,
MACRO AVG,0.06387565053342362,0.04692448543095333,0.1,1605081,0.8999999955915495,0.09999999999988261,,,,,,,,
WEIGHTED AVG,0.2997332032848303,0.2201907332959751,0.4692448543095333,1605081,0.8999999955915495,0.09999999999988261,,,,,,,,
