Class,F1,Precision,Recall,Support,FNR,FPR,Accuracy,Loss,AUC,Time_Seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
GLOBAL,0.4393999893719247,0.5999471469415677,0.5125710166652026,1605081,0.01868945964093111,0.9249296329423148,0.5125710166652026,2.4700869947066497,0.8257496002142479,4.55885124206543,18709.78515625,267.875,2000.25390625,0.0
Attack_Benign,0.39080310453473216,0.8743633511718029,0.2516370675645533,753176,0.7483629324344531,0.03196717943898443,,,,,,,,
Attack_backdoor,0.10381059120201737,0.06054416210474712,0.3637702503681885,8148,0.6362297495537274,0.028800206395616597,,,,,,,,
Attack_ddos,0.0,0.0,0.0,69,0.9999999855072467,0.0,,,,,,,,
Attack_dos,0.0,0.0,0.0,45,0.9999999777777784,0.0,,,,,,,,
Attack_injection,0.0,0.0,0.0,83085,0.9999999999879642,0.0,,,,,,,,
Attack_mitm,0.0,0.0,0.0,155,0.9999999935483872,0.0,,,,,,,,
Attack_password,0.0,0.0,0.0,102221,0.9999999999902174,0.0,,,,,,,,
Attack_ransomware,0.0,0.0,0.0,1472,0.9999999993206521,0.0,,,,,,,,
Attack_scanning,0.0,0.0,0.0,10814,0.9999999999075272,0.0,,,,,,,,
Attack_xss,0.6349059393198174,0.47054163726840703,0.9757406765175818,645896,0.024259323482380662,0.7393130626513766,,,,,,,,
MACRO AVG,0.1129519635056567,0.14054491505449568,0.15911479944503235,1605081,0.8408851961510335,0.08000804484859778,,,,,,,,
WEIGHTED AVG,0.4393999893719247,0.5999471469415677,0.5125710166652026,1605081,0.8408851961510335,0.08000804484859778,,,,,,,,
