Class,F1,Precision,Recall,Support,FNR,FPR,Accuracy,Loss,AUC,Time_Seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
GLOBAL,0.7962827178812748,0.7899991102865809,0.80315074441726,1605081,0.08748873625959055,0.8283756667074142,0.80315074441726,0.5954228219815999,0.9523167498673958,2183.5831229686737,26736.96484375,267.875,9987.875,0.0
Attack_Benign,0.9933716288138763,0.9961388672675543,0.9906197223490923,753176,0.009380277650895169,0.0033947447191841874,,,,,,,,
Attack_backdoor,0.9977290861105997,0.9979128299570289,0.997545409916544,8148,0.002454590083154812,1.0645405912451777e-05,,,,,,,,
Attack_ddos,0.08275862068965517,0.07894736842105263,0.08695652173913043,69,0.9130434650283556,4.3613381083727966e-05,,,,,,,,
Attack_dos,0.0,0.0,0.0,45,0.9999999777777784,2.6167637361388675e-05,,,,,,,,
Attack_injection,0.06812729677106384,0.07605566930769458,0.0616958536438587,83085,0.938304146344848,0.040914693599693484,,,,,,,,
Attack_mitm,0.50814332247557,0.5131578947368421,0.5032258064516129,155,0.4967741903433923,4.61080448568681e-05,,,,,,,,
Attack_password,0.06114390180203709,0.065595266113035,0.05725829330568083,102221,0.9427417066850966,0.055478221524256764,,,,,,,,
Attack_ransomware,0.9714285714285714,0.9846475924633635,0.9585597826086957,1472,0.041440217363152024,1.3719054956654821e-05,,,,,,,,
Attack_scanning,0.011720831113478955,0.013826043237807943,0.010171999260218235,10814,0.9898280006482496,0.004921383933804738,,,,,,,,
Attack_xss,0.7868656608486504,0.7662309083733956,0.8086425678437396,645896,0.19135743215596418,0.1661285362050427,,,,,,,,
MACRO AVG,0.4481288920053503,0.4492512439877775,0.44746759571185724,1605081,0.5525324004080887,0.0270977833506153,,,,,,,,
WEIGHTED AVG,0.7962827178812748,0.7899991102865809,0.80315074441726,1605081,0.5525324004080887,0.0270977833506153,,,,,,,,
