Class,F1,Precision,Recall,Support,FNR,FPR,Accuracy,Loss,AUC,Time_Seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
GLOBAL,0.8370707408727563,0.8445517482175016,0.873151573035878,1605081,0.011749184319463474,0.9748849898310961,0.873151573035878,0.27815482355875526,0.982345822089097,344.43277883529663,17691.08984375,267.875,1123.375,2.875
Attack_Benign,0.9936259840369923,0.9966989336660673,0.9905719247559668,753176,0.009428075244020749,0.002900558160824387,,,,,,,,
Attack_backdoor,0.9966205837173578,0.9979082072105327,0.9953362788414335,8148,0.004663721157994143,1.0645405912451777e-05,,,,,,,,
Attack_ddos,0.07092198581560284,0.06944444444444445,0.07246376811594203,69,0.9275362184415041,4.174423618013962e-05,,,,,,,,
Attack_dos,0.0,0.0,0.0,45,0.9999999777777784,3.4267144163723266e-05,,,,,,,,
Attack_injection,0.12154849748689979,0.5451318944844125,0.06839983149786363,83085,0.9316001684909239,0.003115645507607697,,,,,,,,
Attack_mitm,0.5436893203883495,0.5454545454545454,0.5419354838709678,155,0.45806451317377733,4.3615718107848205e-05,,,,,,,,
Attack_password,0.16699192409602234,0.4416145680359166,0.10296318760333004,102221,0.8970368123878946,0.008855116245020257,,,,,,,,
Attack_ransomware,0.9731958762886599,0.9847009735744089,0.9619565217391305,1472,0.03804347823502481,1.3719054956654821e-05,,,,,,,,
Attack_scanning,0.05898351181370049,0.3644957983193277,0.03208803402996116,10814,0.9679119658805334,0.0003794847412633019,,,,,,,,
Attack_xss,0.8635169397032335,0.7754162461382241,0.9742032773078019,645896,0.025796722692158186,0.18999984361703948,,,,,,,,
MACRO AVG,0.4789094623346818,0.572086561132788,0.47399183077623974,1605081,0.5260081653481611,0.020539463983107596,,,,,,,,
WEIGHTED AVG,0.8370707408727563,0.8445517482175016,0.873151573035878,1605081,0.5260081653481611,0.020539463983107596,,,,,,,,
