,precision,recall,f1-score,support,FPR,FNR,,,,,,
BENIGN,0.99925767,0.821888173,0.901935519,340668,0.002491495,0.178111827,,,,,,
Bot,0.024152578,0.989761092,0.047154472,293,0.027643627,0.010238908,,,,,,
DDoS,0.800856891,0.992813997,0.886563902,19204,0.011707676,0.007186003,,,,,,
DoS GoldenEye,0.508480213,0.990284974,0.671940233,1544,0.003497331,0.009715026,,,,,,
DoS Hulk,0.686083884,0.995654441,0.812376641,34518,0.040358388,0.004345559,,,,,,
DoS Slowhttptest,0.281000347,0.980606061,0.436825054,825,0.004889837,0.019393939,,,,,,
DoS slowloris,0.337657233,0.987356322,0.503222027,870,0.003980798,0.012643678,,,,,,
FTP-Patator,0.217287136,0.990756303,0.356408706,1190,0.010041091,0.009243697,,,,,,
Heartbleed,0.068965517,1,0.129032258,2,6.37E-05,0,,,,,,
Infiltration,0.015151515,0.5,0.029411765,6,0.000459747,0.5,,,,,,
PortScan,0.822524529,0.992485306,0.899547201,23820,0.012741924,0.007514694,,,,,,
SSH-Patator,0.072379849,0.988700565,0.134885155,885,0.026493915,0.011299435,,,,,,
Web Attack � Brute Force,0.059855128,0.694690265,0.11021411,226,0.005817053,0.305309735,,,,,,
Web Attack � Sql Injection,0,0,0,3,9.67E-05,1,,,,,,
Web Attack � XSS,0.047008547,0.224489796,0.077738516,98,0.001051753,0.775510204,,,,,,
accuracy,0.855332522,0.855332522,0.855332522,0.855332522,0.855332522,0.855332522,,,,,,
macro avg,0.329377402,0.80996582,0.399817037,424152,0.010333391,0.144667478,,,,,,
weighted avg,0.944775207,0.855332522,0.886901183,424152,0.006667478,0.144667478,,,,,,
0,,,,,,,,,,,,
Test Accuracy,F1 Score,Test Loss,Recall,Precision,AUC,False Positive Rate,False Negative Rate,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
0.855332522,0.886901183,0.443545914,0.855332522,0.944775207,0.979910212,0.010333391,0.144667478,1999.740001,14264.3125,521.875,6896.175781,66
