,precision,recall,f1-score,support,FPR,FNR,,,,,,
BENIGN,0.9996853,0.90449646,0.949711665,340668,0.001161899,0.09550354,,,,,,
Bot,0.050319654,0.832764505,0.094904706,293,0.010864462,0.167235495,,,,,,
DDoS,0.941167812,0.998802333,0.969128941,19204,0.002960874,0.001197667,,,,,,
DoS GoldenEye,0.740972557,0.996761658,0.850041425,1544,0.001273047,0.003238342,,,,,,
DoS Hulk,0.7786132,0.999015007,0.875150685,34518,0.025164642,0.000984993,,,,,,
DoS Slowhttptest,0.806580259,0.980606061,0.88512035,825,0.000458275,0.019393939,,,,,,
DoS slowloris,0.793900185,0.987356322,0.880122951,870,0.000526836,0.012643678,,,,,,
FTP-Patator,0.760645161,0.990756303,0.860583942,1190,0.000877147,0.009243697,,,,,,
Heartbleed,1,1,1,2,0,0,,,,,,
Infiltration,0.071428571,0.166666667,0.1,6,3.06E-05,0.833333333,,,,,,
PortScan,0.819117445,0.999034425,0.900174005,23820,0.013126605,0.000965575,,,,,,
SSH-Patator,0.090024834,0.983050847,0.164944545,885,0.020776484,0.016949153,,,,,,
Web Attack � Brute Force,0.108374384,0.681415929,0.187006679,226,0.002988729,0.318584071,,,,,,
Web Attack � Sql Injection,0.047619048,0.333333333,0.083333333,3,4.72E-05,0.666666667,,,,,,
Web Attack � XSS,0.05984556,0.316326531,0.100649351,98,0.001148439,0.683673469,,,,,,
accuracy,0.922508912,0.922508912,0.922508912,0.922508912,0.922508912,0.922508912,,,,,,
macro avg,0.537886265,0.811359092,0.593391505,424152,0.005535078,0.077491088,,,,,,
weighted avg,0.963228329,0.922508912,0.938011307,424152,0.003914153,0.077491088,,,,,,
0,,,,,,,,,,,,
Test Accuracy,F1 Score,Test Loss,Recall,Precision,AUC,False Positive Rate,False Negative Rate,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
0.922508912,0.938011307,0.316523309,0.922508912,0.963228329,0.980758721,0.005535078,0.077491088,2148.50098,14266.71875,627.875,8327.71875,260
