,precision,recall,f1-score,support,FPR,FNR,,,,,,
BENIGN,0.999309783,0.875488746,0.933310385,340668,0.002467539,0.124511254,,,,,,
Bot,0.033445217,0.95221843,0.06462073,293,0.019022835,0.04778157,,,,,,
DDoS,0.962947986,0.991980837,0.977248827,19204,0.001810109,0.008019163,,,,,,
DoS GoldenEye,0.605098039,0.999352332,0.753786028,1544,0.002382823,0.000647668,,,,,,
DoS Hulk,0.737138092,0.998696332,0.84821121,34518,0.031550121,0.001303668,,,,,,
DoS Slowhttptest,0.719220549,0.984242424,0.83111566,825,0.00074883,0.015757576,,,,,,
DoS slowloris,0.66306862,0.988505747,0.793724042,870,0.001032409,0.011494253,,,,,,
FTP-Patator,0.430083972,0.989915966,0.599643675,1190,0.003690639,0.010084034,,,,,,
Heartbleed,0.5,1,0.666666667,2,4.72E-06,0,,,,,,
Infiltration,0.022988506,0.333333333,0.043010753,6,0.000200403,0.666666667,,,,,,
PortScan,0.817502668,0.996893367,0.898329771,23820,0.01324151,0.003106633,,,,,,
SSH-Patator,0.074295474,0.983050847,0.13815006,885,0.025610312,0.016949153,,,,,,
Web Attack � Brute Force,0.083278689,0.561946903,0.145059966,226,0.003297745,0.438053097,,,,,,
Web Attack � Sql Injection,0.05,0.333333333,0.086956522,3,4.48E-05,0.666666667,,,,,,
Web Attack � XSS,0.058908046,0.418367347,0.103274559,98,0.001544615,0.581632653,,,,,,
accuracy,0.898816934,0.898816934,0.898816934,0.898816934,0.898816934,0.898816934,,,,,,
macro avg,0.450485709,0.827155063,0.52554059,424152,0.007227362,0.101183066,,,,,,
weighted avg,0.958525471,0.898816934,0.921444255,424152,0.005466334,0.101183066,,,,,,
0,,,,,,,,,,,,
Test Accuracy,F1 Score,Test Loss,Recall,Precision,AUC,False Positive Rate,False Negative Rate,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
0.898816934,0.921444255,0.378383697,0.898816934,0.958525471,0.979344363,0.007227362,0.101183066,1947.97894,14308.96875,575.875,8376.722656,208
