### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.9961046135090861,0.9231346346500964,0.9582324552261541,226591,0.014900632092828388,0.07686536534990357
Bot,0.23371647509578544,0.6224489795918368,0.3398328690807799,196,0.001422009868748489,0.37755102040816324
DDoS,0.9656320148618314,0.9743810044520815,0.9699867817432548,12803,0.0016524926959078474,0.025618995547918456
DoS GoldenEye,0.8703527168732126,0.8872691933916423,0.8787295476419634,1029,0.0004849193643277627,0.11273080660835763
DoS Hulk,0.751416478940542,0.9891714593817398,0.8540559413430577,22256,0.028094525367238613,0.010828540618260244
DoS Slowhttptest,0.4436741767764298,0.9309090909090909,0.6009389671361501,550,0.002285201717104842,0.06909090909090909
DoS slowloris,0.7520775623268698,0.9410745233968805,0.836027713625866,577,0.0006372124979085903,0.058925476603119586
FTP-Patator,0.8361702127659575,0.9911727616645649,0.9070975187536066,793,0.0005486382016067262,0.008827238335435058
Heartbleed,0.07692307692307693,1.0,0.14285714285714288,1,4.2630743160430143e-05,0.0
Infiltration,0.0,0.0,0.0,4,0.0,1.0
PortScan,0.8192219679633868,0.9919395465994962,0.8973453343967187,15880,0.013086955212192403,0.008060453400503778
SSH-Patator,0.12211823784524081,0.9067796610169492,0.21524844095755383,590,0.01369180271842448,0.09322033898305085
Web Attack � Brute Force,0.1031496062992126,0.8675496688741722,0.1843771991555243,151,0.004048525433910222,0.13245033112582782
Web Attack � Sql Injection,0.0,0.0,0.0,2,0.0,1.0
Web Attack � XSS,0.0,0.0,0.0,65,0.0,1.0

### Global Metrics
test_accuracy,test_weighted_f1,test_loss,recall,precision,test_fpr,test_fnr,test_auc,global_FPR,global_FNR,time_seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
0.9341748138464162,0.9430644896615901,0.18589112162590027,0.9341748138464162,0.9598073571542083,0.004701799010970272,0.0658251861535838,99.27954042837767,0.004701799010970272,0.0658251861535838,1795.707114458084,"(10464.91796875,)","(715.875,)","(1053.49609375,)","(306.0,)"
