### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.9965571907440479,0.921047173100432,0.9573154928866799,226591,0.013133686722407417,0.07895282689956794
Bot,0.14761904761904762,0.6326530612244898,0.2393822393822394,196,0.0025453976650597955,0.3673469387755102
DDoS,0.9688634783280538,0.979457939545419,0.9741319039850851,12803,0.0014998976496641049,0.020542060454580957
DoS GoldenEye,0.5491393670183231,0.9611273080660836,0.6989399293286218,1029,0.002895253851721642,0.038872691933916424
DoS Hulk,0.7005847953216374,0.9958213515456507,0.8225121077730975,22256,0.03653869892605851,0.004178648454349389
DoS Slowhttptest,0.7276720351390923,0.9036363636363637,0.8061638280616383,550,0.000662067787198599,0.09636363636363636
DoS slowloris,0.5610010427528676,0.9324090121317158,0.7005208333333333,577,0.001498695316310148,0.06759098786828423
FTP-Patator,0.4773413897280967,0.9962168978562421,0.6454248366013072,793,0.003081636651881936,0.0037831021437578815
Heartbleed,0.07142857142857142,1.0,0.13333333333333333,1,4.618330509046599e-05,0.0
Infiltration,0.0,0.0,0.0,4,7.1051995850563445e-06,1.0
PortScan,0.8222696957065444,0.9937657430730479,0.8999201642335767,15880,0.012842233667660612,0.006234256926952141
SSH-Patator,0.3193548387096774,0.5033898305084745,0.39078947368421046,590,0.0022534870308795365,0.4966101694915254
Web Attack � Brute Force,0.09277620396600567,0.8675496688741722,0.16762635956493924,151,0.004553258192132567,0.13245033112582782
Web Attack � Sql Injection,0.0,0.0,0.0,2,0.0,1.0
Web Attack � XSS,0.0,0.0,0.0,65,0.0,1.0

### Global Metrics
test_accuracy,test_weighted_f1,test_loss,recall,precision,test_fpr,test_fnr,test_auc,global_FPR,global_FNR,time_seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
0.9327289262774967,0.9391839034879833,0.20620609819889069,0.9327289262774967,0.9547975550242652,0.004805076694464519,0.06727107372250327,99.31993687410721,0.004805076694464519,0.06727107372250327,1966.4239778518677,"(10170.8125,)","(583.875,)","(1053.484375,)","(176.0,)"
