### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.9980256850777861,0.9280598082006788,0.9617719764828024,226591,0.007577827567990965,0.07194019179932125
Bot,0.32620320855614976,0.6224489795918368,0.4280701754385965,196,0.0008958662173115481,0.37755102040816324
DDoS,0.9985698395042111,0.9816449269702413,0.9900350545511835,12803,6.699294713139923e-05,0.01835507302975865
DoS GoldenEye,0.8360927152317881,0.9815354713313897,0.9029950827000448,1029,0.0007059855451242427,0.0184645286686103
DoS Hulk,0.7928211361767545,0.9964054636951833,0.8830310390825652,22256,0.0223544932724355,0.0035945363048166786
DoS Slowhttptest,0.8095238095238095,0.9890909090909091,0.8903436988543373,550,0.0004556165417280681,0.01090909090909091
DoS slowloris,0.8946540880503144,0.9861351819757366,0.9381698268755153,577,0.00023850970592109244,0.01386481802426343
FTP-Patator,0.8361702127659575,0.9911727616645649,0.9070975187536066,793,0.0005486382016067262,0.008827238335435058
Heartbleed,1.0,1.0,1.0,1,0.0,0.0
Infiltration,0.13793103448275862,1.0,0.2424242424242424,4,8.88149948132043e-05,0.0
PortScan,0.8278996865203762,0.9978589420654912,0.9049685893774986,15880,0.012401734887503388,0.0021410579345088163
SSH-Patator,0.09754057219340806,0.988135593220339,0.1775544388609715,590,0.019202699912423727,0.011864406779661017
Web Attack � Brute Force,0.11137820512820513,0.9205298013245033,0.19871336669049325,151,0.0039418917525956415,0.07947019867549669
Web Attack � Sql Injection,0.0,0.0,0.0,2,0.0,1.0
Web Attack � XSS,0.0,0.0,0.0,65,0.0,1.0

### Global Metrics
test_accuracy,test_weighted_f1,test_loss,recall,precision,test_fpr,test_fnr,test_auc,global_FPR,global_FNR,time_seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
0.9401395441368726,0.9504067324979062,0.14465674757957458,0.9401395441368726,0.9675195119424272,0.004275746847366242,0.05986045586312738,99.50607354838873,0.004275746847366242,0.05986045586312738,1567.3908700942993,"(10063.54296875,)","(511.875,)","(1053.57421875,)","(106.0,)"
