### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.98515137534546,0.9706387279282938,0.9778412071740425,226591,0.060385813432428,0.02936127207170629
Bot,0.19273301737756715,0.6224489795918368,0.2943305186972256,196,0.001816617607326195,0.37755102040816324
DDoS,0.9963965406790519,0.9718815902522846,0.9839863983235143,12803,0.00016748236782849807,0.02811840974771538
DoS GoldenEye,0.9454022988505747,0.9591836734693877,0.9522431259044863,1029,0.00020323826299031232,0.04081632653061224
DoS Hulk,0.9245750046702783,0.8895129403306974,0.9067051387743886,22256,0.006229940748055796,0.11048705966930265
DoS Slowhttptest,0.8312101910828026,0.9490909090909091,0.8862478777589134,550,0.00037730744861855643,0.05090909090909091
DoS slowloris,0.8315301391035549,0.9324090121317158,0.8790849673202614,577,0.0003880232529164041,0.06759098786828423
FTP-Patator,0.8406417112299466,0.9911727616645649,0.9097222222222222,793,0.0005308252729831312,0.008827238335435058
Heartbleed,0.1,1.0,0.18181818181818182,1,3.197305737032261e-05,0.0
Infiltration,0.16666666666666666,0.5,0.25,4,3.552599792528172e-05,0.5
PortScan,0.8288123167155426,0.9966624685138539,0.9050205855443734,15880,0.012307611216529622,0.0033375314861460955
SSH-Patator,0.9866666666666667,0.5016949152542373,0.6651685393258426,590,1.4240044428938619e-05,0.49830508474576274
Web Attack � Brute Force,0.13300970873786408,0.9072847682119205,0.23200677392040644,151,0.0031741292471306653,0.09271523178807947
Web Attack � Sql Injection,0.0,0.0,0.0,2,0.0,1.0
Web Attack � XSS,0.0,0.0,0.0,65,0.0,1.0

### Global Metrics
test_accuracy,test_weighted_f1,test_loss,recall,precision,test_fpr,test_fnr,test_auc,global_FPR,global_FNR,time_seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
0.9641476723696925,0.9659439855983797,0.12095148116350174,0.9641476723696925,0.9696304907133089,0.002560880545021965,0.03585232763030751,99.46726962565874,0.002560880545021965,0.03585232763030751,1301.6459157466888,"(8757.01953125,)","(483.875,)","(1640.15234375,)","(216.0,)"
