,precision,recall,f1-score,support,FPR,FNR,,,,,,
Benign,0.959302845,0.940534434,0.949825933,377109,0.035364848,0.059465566,,,,,,
backdoor,0.978413776,0.990667976,0.984502746,4072,0.000111457,0.009332024,,,,,,
ddos,0.022222222,0.066666667,0.033333333,30,0.000109649,0.933333333,,,,,,
dos,0,0,0,21,1.12E-05,1,,,,,,
injection,0.135515596,0.067482895,0.090099042,41655,0.023565807,0.932517105,,,,,,
mitm,0.0875,0.897435897,0.159453303,78,0.000909646,0.102564103,,,,,,
password,0.246377186,0.561051126,0.342396211,51031,0.116527422,0.438948874,,,,,,
ransomware,0.308258381,0.985620915,0.469635628,765,0.002110191,0.014379085,,,,,,
scanning,0.052045655,0.953783834,0.098705209,5431,0.118355606,0.046216166,,,,,,
xss,0.910211212,0.533344086,0.672583541,322396,0.035323371,0.466655914,,,,,,
accuracy,0.707852597,0.707852597,0.707852597,0.707852597,0.707852597,0.707852597,,,,,,
macro avg,0.369984687,0.599658783,0.380053495,802588,0.032460823,0.292147403,,,,,,
weighted avg,0.844689974,0.707852597,0.749039008,802588,0.040241808,0.292147403,,,,,,
0,,,,,,,,,,,,
Test Accuracy,F1 Score,Test Loss,Recall,Precision,AUC,False Positive Rate,False Negative Rate,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
0.707852597,0.749039008,0.745868389,0.707852597,0.844689974,0.944043503,0.032460823,0.292147403,3724.38697,23274.625,521.875,13612.51953,154
