,precision,recall,f1-score,support,FPR,FNR,,,,,,
Benign,0.988689301,0.973074098,0.980819553,377109,0.009866527,0.026925902,,,,,,
backdoor,0.960151803,0.99410609,0.976833977,4072,0.00021039,0.00589391,,,,,,
ddos,0.091954023,0.266666667,0.136752137,30,9.84E-05,0.733333333,,,,,,
dos,0.06,0.142857143,0.084507042,21,5.86E-05,0.857142857,,,,,,
injection,0.238690307,0.141231545,0.17746071,41655,0.024659201,0.858768455,,,,,,
mitm,0.167741935,0.666666667,0.268041237,78,0.000321491,0.333333333,,,,,,
password,0.246875314,0.674256824,0.36141908,51031,0.139664723,0.325743176,,,,,,
ransomware,0.591627172,0.979084967,0.737567701,765,0.000644781,0.020915033,,,,,,
scanning,0.065167761,0.935555146,0.121847984,5431,0.091433682,0.064444854,,,,,,
xss,0.946473624,0.538759786,0.686655611,322396,0.020456401,0.461240214,,,,,,
accuracy,0.73621958,0.73621958,0.73621958,0.73621958,0.73621958,0.73621958,,,,,,
macro avg,0.435737124,0.631225893,0.453190503,802588,0.029308936,0.26378042,,,,,,
weighted avg,0.878728867,0.73621958,0.775387937,802588,0.023633773,0.26378042,,,,,,
0,,,,,,,,,,,,
Test Accuracy,F1 Score,Test Loss,Recall,Precision,AUC,False Positive Rate,False Negative Rate,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
0.73621958,0.775387937,0.652754615,0.73621958,0.878728867,0.900009615,0.029308936,0.26378042,4176.194853,23541.61328,629.875,13892.35156,262
