,precision,recall,f1-score,support,FPR,FNR,,,,,,
Benign,0.983853106,0.961210154,0.972399834,377109,0.013981889,0.038789846,,,,,,
backdoor,0.930280718,0.992878193,0.960560703,4072,0.000379454,0.007121807,,,,,,
ddos,0.053140097,0.366666667,0.092827004,30,0.000244219,0.633333333,,,,,,
dos,0.034090909,0.142857143,0.055045872,21,0.00010591,0.857142857,,,,,,
injection,0.261104718,0.108942504,0.153739307,41655,0.01687665,0.891057496,,,,,,
mitm,0.098214286,0.705128205,0.172413793,78,0.000629276,0.294871795,,,,,,
password,0.240939597,0.682389136,0.356134403,51031,0.14597296,0.317610864,,,,,,
ransomware,0.360151443,0.994771242,0.528839472,765,0.001686158,0.005228758,,,,,,
scanning,0.060584436,0.922297919,0.113700076,5431,0.097432501,0.077702081,,,,,,
xss,0.935233957,0.52870383,0.675522935,322396,0.024581834,0.47129617,,,,,,
accuracy,0.725373417,0.725373417,0.725373417,0.725373417,0.725373417,0.725373417,,,,,,
macro avg,0.395759327,0.640584499,0.40811834,802588,0.030514065,0.274626583,,,,,,
weighted avg,0.872315406,0.725373417,0.765044314,802588,0.027264267,0.274626583,,,,,,
0,,,,,,,,,,,,
Test Accuracy,F1 Score,Test Loss,Recall,Precision,AUC,False Positive Rate,False Negative Rate,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
0.725373417,0.765044314,0.698523739,0.725373417,0.872315406,0.931964327,0.030514065,0.274626583,3616.366231,23605.52734,589.875,13953.89063,222
