,precision,recall,f1-score,support,FPR,FNR,,,,,,
Benign,0.986549605,0.968409664,0.977395475,377109,0.011702105,0.031590336,,,,,,
backdoor,0.945497076,0.992632613,0.968491674,4072,0.000291791,0.007367387,,,,,,
ddos,0.068965517,0.333333333,0.114285714,30,0.000168212,0.666666667,,,,,,
dos,0.042735043,0.238095238,0.072463768,21,0.000139552,0.761904762,,,,,,
injection,0.198739275,0.136238147,0.161657883,41655,0.03006835,0.863761853,,,,,,
mitm,0.111336032,0.705128205,0.192307692,78,0.000547034,0.294871795,,,,,,
password,0.253903165,0.623660128,0.36088401,51031,0.124436337,0.376339872,,,,,,
ransomware,0.493851133,0.997385621,0.660606061,765,0.000975278,0.002614379,,,,,,
scanning,0.061865895,0.953231449,0.116190861,5431,0.098479973,0.046768551,,,,,,
xss,0.937409032,0.547373417,0.691162244,322396,0.024538101,0.452626583,,,,,,
accuracy,0.734150025,0.734150025,0.734150025,0.734150025,0.734150025,0.734150025,,,,,,
macro avg,0.410085177,0.649548781,0.431544538,802588,0.029538886,0.265849975,,,,,,
weighted avg,0.872258966,0.734150025,0.774572693,802588,0.025496758,0.265849975,,,,,,
0,,,,,,,,,,,,
Test Accuracy,F1 Score,Test Loss,Recall,Precision,AUC,False Positive Rate,False Negative Rate,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
0.734150025,0.774572693,0.664420564,0.734150025,0.872258966,0.935334903,0.029538886,0.265849975,3494.525106,23520.78125,577.875,13888.4375,210
