### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,0.46930980768078606,0.9970485986810179,0.6382132554569087,251406,0.9992772859797006,0.002951401318982045
backdoor,0.0,0.0,0.0,2714,6.011139392687073e-05,1.0
ddos,0.0,0.0,0.0,20,4.111849790389112e-05,1.0
dos,0.0,0.0,0.0,14,0.0,1.0
injection,0.0,0.0,0.0,27770,0.0,1.0
mitm,0.0,0.0,0.0,52,0.0015551198395535011,1.0
password,0.0,0.0,0.0,34021,0.0,1.0
ransomware,0.0,0.0,0.0,510,1.8707358913775912e-06,1.0
scanning,0.0,0.0,0.0,3621,0.0,1.0
xss,0.25,6.978983952989564e-05,0.00013954072496057975,214931,0.0001405687724910036,0.9999302101604701

### Global Metrics
test_accuracy,test_weighted_f1,test_loss,recall,precision,test_fpr,test_fnr,test_auc,global_FPR,global_FNR,time_seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
0.4685072113542619,0.2999307241424891,2.656625270843506,0.4685072113542619,0.3209366658813247,0.059054754293970904,0.5314927886457381,51.256101186559775,0.059054754293970904,0.5314927886457381,3084.6872918605804,"(17830.0234375,)","(747.875,)","(2002.61328125,)","(340.0,)"
