### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,0.9851664602008585,0.8572428661209358,0.9167636180335923,251406,0.011440034126203496,0.14275713387906414
backdoor,0.994486018117369,0.9303610906411202,0.961355415952789,2714,2.6298734843005945e-05,0.06963890935887988
ddos,0.0,0.0,0.0,20,0.0,1.0
dos,0.0,0.0,0.0,14,0.0,1.0
injection,0.0,0.0,0.0,27770,2.9568943935311034e-05,1.0
mitm,0.027007299270072994,0.7115384615384616,0.05203938115330521,52,0.0024915561852461745,0.28846153846153844
password,0.28769974331105613,0.36568589988536493,0.3220387243735763,34021,0.061476375045405734,0.6343141001146351
ransomware,0.4203703703703704,0.8901960784313725,0.571069182389937,510,0.001171080668002372,0.10980392156862745
scanning,0.02,0.00027616680475006904,0.0005448106782892945,3621,9.220266522153101e-05,0.9997238331952499
xss,0.7126130126380126,0.8885688895506,0.790922945673511,214931,0.24059126349460216,0.11143111044940004

### Global Metrics
test_accuracy,test_weighted_f1,test_loss,recall,precision,test_fpr,test_fnr,test_auc,global_FPR,global_FNR,time_seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
0.7886139659364668,0.7743722765583253,0.6555211544036865,0.7886139659364668,0.7730259051831005,0.023487337118170352,0.21138603406353318,94.13269861983377,0.023487337118170352,0.21138603406353318,3443.135858297348,"(17369.48046875,)","(615.875,)","(2002.63671875,)","(208.0,)"
