### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,0.9863231629613396,0.9666913279714884,0.976408575193649,251406,0.011880713406873892,0.03330867202851165
backdoor,0.9914940828402367,0.9878408253500368,0.9896640826873385,2714,4.320506438493834e-05,0.012159174649963155
ddos,0.0,0.0,0.0,20,0.0,1.0
dos,0.0,0.0,0.0,14,0.0,1.0
injection,0.2699417574069385,0.15354699315808426,0.19574897856126336,27770,0.022732604097467125,0.8464530068419157
mitm,0.05546218487394958,0.6346153846153846,0.10200927357032455,52,0.0010504535454676294,0.36538461538461536
password,0.2932257340218985,0.6525675318185826,0.4046330216705853,34021,0.1068022784698965,0.3474324681814174
ransomware,0.5202991452991453,0.9549019607843138,0.673582295988935,510,0.0008399604152285385,0.045098039215686274
scanning,0.11311053984575835,0.024302678818006077,0.040009092975676286,3621,0.0012983640612827837,0.9756973211819939
xss,0.8587243344523382,0.7676463609251342,0.8106351304211111,214931,0.08479108356657337,0.2323536390748659

### Global Metrics
test_accuracy,test_weighted_f1,test_loss,recall,precision,test_fpr,test_fnr,test_auc,global_FPR,global_FNR,time_seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
0.818184536658574,0.826240125548461,0.465287446975708,0.818184536658574,0.8473362398152534,0.020201718149047324,0.1818154633414259,96.27131668540937,0.020201718149047324,0.1818154633414259,2789.3067257404327,"(17129.4140625,)","(579.875,)","(2002.578125,)","(176.0,)"
