,precision,recall,f1-score,support,FPR,FNR,Test Accuracy,F1 Score,Test Loss,Recall,Precision,AUC,False Positive Rate,False Negative Rate,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
BENIGN,0.9999726479517874,0.965849448730142,0.9826148891088843,340668.0,0.00010780508840017249,0.03415055126985805,,,,,,,,,,,,,
Bot,0.025600141730888475,0.9863481228668942,0.04990502503885339,293.0,0.02595202649937833,0.013651877133105802,,,,,,,,,,,,,
DDoS,0.9983849119516516,0.9978650281191418,0.9981249023386635,19204.0,7.655303890869939e-05,0.0021349718808581545,,,,,,,,,,,,,
DoS GoldenEye,0.9599749843652282,0.9941709844559585,0.9767737830098631,1544.0,0.00015144057850300987,0.005829015544041451,,,,,,,,,,,,,
DoS Hulk,0.9966426442071141,0.9975954574424938,0.9971188232057797,34518.0,0.00029771529178665104,0.0024045425575062286,,,,,,,,,,,,,
DoS Slowhttptest,0.9068462401795735,0.9793939393939394,0.9417249417249417,825.0,0.00019606592539573426,0.020606060606060607,,,,,,,,,,,,,
DoS slowloris,0.894681960375391,0.9862068965517241,0.9382176052487697,870.0,0.0002386116111717484,0.013793103448275862,,,,,,,,,,,,,
FTP-Patator,0.8687315634218289,0.9899159663865547,0.9253731343283582,1190.0,0.00042084158860606865,0.010084033613445379,,,,,,,,,,,,,
Heartbleed,0.18181818181818182,1.0,0.3076923076923077,2.0,2.1218908405045385e-05,0.0,,,,,,,,,,,,,
Infiltration,0.01675977653631285,0.5,0.03243243243243243,6.0,0.00041495145539507624,0.5,,,,,,,,,,,,,
PortScan,0.9995773100008454,0.9927791771620487,0.9961666456042799,23820.0,2.497926720821718e-05,0.007220822837951301,,,,,,,,,,,,,
SSH-Patator,0.906832298136646,0.9898305084745763,0.9465153970826581,885.0,0.00021263174308415255,0.010169491525423728,,,,,,,,,,,,,
Web Attack � Brute Force,0.45219638242894056,0.7743362831858407,0.5709624796084829,226.0,0.000500087279383666,0.22566371681415928,,,,,,,,,,,,,
Web Attack � Sql Injection,0.0,0.0,0.0,3.0,7.072986144020144e-06,1.0,,,,,,,,,,,,,
Web Attack � XSS,0.3333333333333333,0.22448979591836735,0.2682926829268293,98.0,0.00010376037014153858,0.7755102040816326,,,,,,,,,,,,,
accuracy,0.9714111922141119,0.9714111922141119,0.9714111922141119,0.9714111922141119,0.9714111922141119,0.9714111922141119,,,,,,,,,,,,,
macro avg,0.6360901584291816,0.8252521072458454,0.6621276699567401,424152.0,0.0020420576989920057,0.028588807785888078,,,,,,,,,,,,,
weighted avg,0.9973584853024942,0.9714111922141119,0.9837784811359098,424152.0,0.00013695384602405335,0.02858880778588808,,,,,,,,,,,,,
0,,,,,,,0.9714111922141119,0.9837784811359098,0.07708910028137783,0.9714111922141119,0.9973584853024942,0.9829646048363955,0.0020420576989920057,0.028588807785888078,1919.323121547699,15334.05859375,521.875,8371.796875,154.0
