,precision,recall,f1-score,support,FPR,FNR,Test Accuracy,F1 Score,Test Loss,Recall,Precision,AUC,False Positive Rate,False Negative Rate,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
BENIGN,0.9999794042533159,0.9976546080054481,0.9988156533596653,340668.0,8.384840208902305e-05,0.0023453919945518806,,,,,,,,,,,,,
Bot,0.2879684418145957,0.9965870307167235,0.44682478959449123,293.0,0.0017033966484137414,0.0034129692832764505,,,,,,,,,,,,,
DDoS,0.999375,0.9991668402416163,0.9992709092802834,19204.0,2.963343441627073e-05,0.0008331597583836701,,,,,,,,,,,,,
DoS GoldenEye,0.9796048438495857,0.9954663212435233,0.9874718920655315,1544.0,7.572028925150494e-05,0.0045336787564766836,,,,,,,,,,,,,
DoS Hulk,0.9992180033017638,0.999478532939336,0.9993482511405605,34518.0,6.929580067447913e-05,0.0005214670606640013,,,,,,,,,,,,,
DoS Slowhttptest,0.9795180722891567,0.9854545454545455,0.9824773413897282,825.0,4.015808110515039e-05,0.014545454545454545,,,,,,,,,,,,,
DoS slowloris,0.9715909090909091,0.9827586206896551,0.9771428571428572,870.0,5.906227999300703e-05,0.017241379310344827,,,,,,,,,,,,,
FTP-Patator,0.9940878378378378,0.9890756302521009,0.9915754001684921,1190.0,1.65499501137218e-05,0.010924369747899159,,,,,,,,,,,,,
Heartbleed,1.0,1.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,
Infiltration,0.0,0.0,0.0,6.0,2.1219108514520945e-05,1.0,,,,,,,,,,,,,
PortScan,0.999580008399832,0.9991603694374476,0.9993701448666807,23820.0,2.497926720821718e-05,0.0008396305625524769,,,,,,,,,,,,,
SSH-Patator,0.9377682403433476,0.9875706214689266,0.9620253164556962,885.0,0.00013702934554312053,0.012429378531073447,,,,,,,,,,,,,
Web Attack � Brute Force,0.6415929203539823,0.6415929203539823,0.6415929203539823,226.0,0.00019107108316074033,0.3584070796460177,,,,,,,,,,,,,
Web Attack � Sql Injection,0.0,0.0,0.0,3.0,2.3576620480067147e-06,1.0,,,,,,,,,,,,,
Web Attack � XSS,0.358695652173913,0.336734693877551,0.34736842105263155,98.0,0.00013913322359888127,0.6632653061224489,,,,,,,,,,,,,
accuracy,0.9974843923876346,0.9974843923876346,0.9974843923876346,0.9974843923876346,0.9974843923876346,0.9974843923876346,,,,,,,,,,,,,
macro avg,0.7432652889138825,0.7940467156453903,0.7555522597913734,424152.0,0.00017968625802609845,0.0025156076123653785,,,,,,,,,,,,,
weighted avg,0.99869692174685,0.9974843923876346,0.9979527926727478,424152.0,7.784696376500697e-05,0.0025156076123653785,,,,,,,,,,,,,
0,,,,,,,0.9974843923876346,0.9979527926727478,0.0861023066989047,0.9974843923876346,0.99869692174685,0.9664046221622866,0.00017968625802609845,0.0025156076123653785,2085.695417165756,15400.6875,631.875,8378.7265625,264.0
