,precision,recall,f1-score,support,FPR,FNR,Test Accuracy,F1 Score,Test Loss,Recall,Precision,AUC,False Positive Rate,False Negative Rate,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
BENIGN,0.9999496883638064,0.9918072727699696,0.9958618372381596,340668.0,0.00020363183364477026,0.00819272723003041,,,,,,,,,,,,,
Bot,0.09839972761321075,0.9863481228668942,0.17894736842105263,293.0,0.0062473605609412565,0.013651877133105802,,,,,,,,,,,,,
DDoS,0.9988544649830773,0.9989064778171214,0.9988804707230076,19204.0,5.432796309649634e-05,0.0010935221828785669,,,,,,,,,,,,,
DoS GoldenEye,0.9734680985470625,0.9980569948186528,0.9856092101055324,1544.0,9.938287964260023e-05,0.0019430051813471502,,,,,,,,,,,,,
DoS Hulk,0.9990731354091238,0.9992757401935222,0.9991744275306692,34518.0,8.212835635493823e-05,0.0007242598064777797,,,,,,,,,,,,,
DoS Slowhttptest,0.9434180138568129,0.9903030303030304,0.9662921348314608,825.0,0.00011574976318543349,0.009696969696969697,,,,,,,,,,,,,
DoS slowloris,0.9440175631174533,0.9885057471264368,0.965749578888265,870.0,0.00012048705118573434,0.011494252873563218,,,,,,,,,,,,,
FTP-Patator,0.9974597798475868,0.9899159663865547,0.9936735554618304,1190.0,7.092835763023628e-06,0.010084033613445379,,,,,,,,,,,,,
Heartbleed,0.5,1.0,0.6666666666666666,2.0,4.7153129788989745e-06,0.0,,,,,,,,,,,,,
Infiltration,0.15,0.5,0.23076923076923075,6.0,4.0080538305206226e-05,0.5,,,,,,,,,,,,,
PortScan,0.9994952469083873,0.9975650713685978,0.9985292263730723,23820.0,2.9975120649860616e-05,0.002434928631402183,,,,,,,,,,,,,
SSH-Patator,0.9393939393939394,0.9807909604519774,0.9596462133775567,885.0,0.00013230419569680604,0.0192090395480226,,,,,,,,,,,,,
Web Attack � Brute Force,0.6147186147186147,0.6283185840707964,0.6214442013129103,226.0,0.00020994230125069,0.37168141592920356,,,,,,,,,,,,,
Web Attack � Sql Injection,0.0,0.0,0.0,3.0,0.0,1.0,,,,,,,,,,,,,
Web Attack � XSS,0.35051546391752575,0.3469387755102041,0.3487179487179487,98.0,0.00014856598452083934,0.6530612244897959,,,,,,,,,,,,,
accuracy,0.9926842264094003,0.9926842264094003,0.9926842264094003,0.9926842264094003,0.9926842264094003,0.9926842264094003,,,,,,,,,,,,,
macro avg,0.7005842491117735,0.8264488495789172,0.7273308046944909,424152.0,0.0005225552564713997,0.007315773590599596,,,,,,,,,,,,,
weighted avg,0.9983492793926001,0.9926842264094003,0.9952468276961347,424152.0,0.00017997110661695766,0.0073157735905995955,,,,,,,,,,,,,
0,,,,,,,0.9926842264094003,0.9952468276961347,0.09697351205351554,0.9926842264094003,0.9983492793926001,0.9781331340145526,0.0005225552564713997,0.007315773590599596,1962.706171989441,15829.5390625,579.875,8839.92578125,212.0
