,precision,recall,f1-score,support,FPR,FNR,Test Accuracy,F1 Score,Test Loss,Recall,Precision,AUC,False Positive Rate,False Negative Rate,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
BENIGN,0.9999793474380497,0.9949100003522491,0.997438232866251,340668.0,8.384840208902305e-05,0.00508999964775089,,,,,,,,,,,,,
Bot,0.1512297226582941,0.9863481228668942,0.26225045372050815,293.0,0.0038267442710901503,0.013651877133105802,,,,,,,,,,,,,
DDoS,0.9986469608659451,0.9992709852114143,0.9989588755856326,19204.0,6.420577456858658e-05,0.0007290147885857113,,,,,,,,,,,,,
DoS GoldenEye,0.9679446888749215,0.9974093264248705,0.9824561403508772,1544.0,0.000120679210994586,0.0025906735751295338,,,,,,,,,,,,,
DoS Hulk,0.9993047307280049,0.9993336809780404,0.9993192056433506,34518.0,6.159626726620367e-05,0.0006663190219595573,,,,,,,,,,,,,
DoS Slowhttptest,0.9714285714285714,0.9890909090909091,0.9801801801801802,825.0,5.669376156021232e-05,0.01090909090909091,,,,,,,,,,,,,
DoS slowloris,0.9555061179087876,0.9873563218390805,0.9711701526286037,870.0,9.449964798881124e-05,0.01264367816091954,,,,,,,,,,,,,
FTP-Patator,0.9924242424242424,0.9907563025210084,0.9915895710681245,1190.0,2.1278507289070887e-05,0.009243697478991597,,,,,,,,,,,,,
Heartbleed,0.6666666666666666,1.0,0.8,2.0,2.3576564894494873e-06,0.0,,,,,,,,,,,,,
Infiltration,0.15,0.5,0.23076923076923075,6.0,4.0080538305206226e-05,0.5,,,,,,,,,,,,,
PortScan,0.9996635403961812,0.9978589420654912,0.9987604260772738,23820.0,1.9983413766573743e-05,0.0021410579345088163,,,,,,,,,,,,,
SSH-Patator,0.9411123227917121,0.9751412429378531,0.9578246392896781,885.0,0.00012757904585049154,0.024858757062146894,,,,,,,,,,,,,
Web Attack � Brute Force,0.648068669527897,0.668141592920354,0.6579520697167756,226.0,0.00019342998542198404,0.33185840707964603,,,,,,,,,,,,,
Web Attack � Sql Injection,0.0,0.0,0.0,3.0,4.7153240960134294e-06,1.0,,,,,,,,,,,,,
Web Attack � XSS,0.45263157894736844,0.4387755102040816,0.44559585492227977,98.0,0.0001226258919854547,0.5612244897959183,,,,,,,,,,,,,
accuracy,0.9952399139930969,0.9952399139930969,0.9952399139930969,0.9952399139930969,0.9952399139930969,0.9952399139930969,,,,,,,,,,,,,
macro avg,0.7263071440437762,0.8349595291608165,0.7516176688545844,424152.0,0.00034000614335022753,0.004760086006903186,,,,,,,,,,,,,
weighted avg,0.9985180468344166,0.9952399139930969,0.99665827997446,424152.0,8.023169185863149e-05,0.0047600860069031865,,,,,,,,,,,,,
0,,,,,,,0.9952399139930969,0.99665827997446,0.09484220246032694,0.9952399139930969,0.9985180468344166,0.9735265053032298,0.00034000614335022753,0.004760086006903186,2004.9843282699585,15546.16796875,575.875,8574.12109375,208.0
