### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.9998714664350108,0.9955955885273466,0.9977289463151214,226591,0.0005282620179609086,0.004404411472653371
Bot,0.17956989247311828,0.8520408163265306,0.2966252220248668,196,0.002712483824637743,0.14795918367346939
DDoS,0.9945422971967254,0.9393892056549247,0.9661793059125965,12803,0.00024564080614846383,0.060610794345075374
DoS GoldenEye,0.8499558693733451,0.9358600583090378,0.8908418131359852,1029,0.0006061492054097034,0.0641399416909621
DoS Hulk,0.9607138159337045,0.984498562185478,0.9724607771342343,22256,0.003456363411924454,0.015501437814521927
DoS Slowhttptest,0.9136069114470843,0.769090909090909,0.8351431391905233,550,0.0001423801692900213,0.2309090909090909
DoS slowloris,0.8447098976109215,0.8578856152512998,0.8512467755803955,577,0.00032394601848984196,0.14211438474870017
FTP-Patator,0.8979591836734694,0.49936948297604034,0.6418152350081037,793,0.00016031635761235504,0.5006305170239597
Heartbleed,0.0,0.0,0.0,1,0.0,1.0
Infiltration,0.21052631578947367,1.0,0.34782608695652173,4,5.328899688792258e-05,0.0
PortScan,0.9698384421647521,0.9942065491183879,0.9818713268447402,15880,0.0018485888979247612,0.005793450881612091
SSH-Patator,0.6822977725674091,0.9864406779661017,0.8066528066528066,590,0.0009647630100605913,0.013559322033898305
Web Attack � Brute Force,0.46946564885496184,0.8145695364238411,0.5956416464891041,151,0.0004940693900908874,0.18543046357615894
Web Attack � Sql Injection,0.0,0.0,0.0,2,0.0,1.0
Web Attack � XSS,0.0,0.0,0.0,65,0.0,1.0

### Global Metrics
test_accuracy,test_weighted_f1,test_loss,recall,precision,test_fpr,test_fnr,test_auc,global_FPR,global_FNR,time_seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
0.9892855112828967,0.9900355530958173,0.05330224335193634,0.9892855112828967,0.9917429235648317,0.0007653206226502423,0.010714488717103393,99.98854117756515,0.0007653206226502423,0.010714488717103393,1643.0595948696136,"(11551.984375,)","(751.875,)","(1238.34765625,)","(344.0,)"
