### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.999977709022496,0.9898936850978194,0.9949101457760864,226591,9.107965826912218e-05,0.01010631490218058
Bot,0.07921600653327888,0.9897959183673469,0.14669187145557655,196,0.008016580635069607,0.01020408163265306
DDoS,0.9919361091726758,0.9992189330625635,0.9955642023346304,12803,0.00038707036120363996,0.0007810669374365383
DoS GoldenEye,0.9989658738366081,0.9387755102040817,0.9679358717434869,1029,3.565583561233549e-06,0.061224489795918366
DoS Hulk,0.9938136011117586,0.9960909417685119,0.9949509682920809,22256,0.0005323416862115789,0.003909058231488138
DoS Slowhttptest,0.9037433155080213,0.9218181818181819,0.9126912691269126,550,0.00019221322854152874,0.07818181818181819
DoS slowloris,0.6562889165628891,0.9133448873483535,0.763768115942029,577,0.0009825175945406197,0.08665511265164645
FTP-Patator,0.9924242424242424,0.9911727616645649,0.9917981072555205,793,2.1375514348314006e-05,0.008827238335435058
Heartbleed,0.3333333333333333,1.0,0.5,1,7.105123860071691e-06,0.0
Infiltration,1.0,0.25,0.4,4,0.0,0.75
PortScan,0.9999356540763142,0.9785894206549118,0.9891473855065084,15880,3.764946838950634e-06,0.021410579345088162
SSH-Patator,0.9421221864951769,0.9932203389830508,0.9669966996699669,590,0.00012816039986044756,0.006779661016949152
Web Attack � Brute Force,0.5481171548117155,0.8675496688741722,0.6717948717948719,151,0.0003838812527324881,0.13245033112582782
Web Attack � Sql Injection,0.0,0.0,0.0,2,0.0,1.0
Web Attack � XSS,0.0,0.0,0.0,65,0.0,1.0

### Global Metrics
test_accuracy,test_weighted_f1,test_loss,recall,precision,test_fpr,test_fnr,test_auc,global_FPR,global_FNR,time_seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
0.9893920877621781,0.9928067255209422,0.03597312793135643,0.9893920877621781,0.9969595295421417,0.0007577080169872758,0.010607912237821862,99.99557374883938,0.0007577080169872758,0.010607912237821862,1764.672610759735,"(11327.828125,)","(591.875,)","(1238.5546875,)","(184.0,)"
