### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.9999867130234515,0.9964296904996227,0.9982050329814137,226591,5.4647794961473305e-05,0.003570309500377332
Bot,0.20483193277310924,0.9948979591836735,0.3397212543554007,196,0.0026911536766065156,0.00510204081632653
DDoS,0.9989847715736041,0.9991408263688198,0.9990627928772259,12803,4.8383795150454995e-05,0.0008591736311801922
DoS GoldenEye,0.9845410628019323,0.9902818270165209,0.9874031007751938,1029,5.704933697973679e-05,0.009718172983479106
DoS Hulk,0.9992355771392598,0.9984723220704529,0.9988538037981796,22256,6.557832366374522e-05,0.0015276779295470885
DoS Slowhttptest,0.9819168173598554,0.9872727272727273,0.9845874886672711,550,3.5595042322505323e-05,0.012727272727272728
DoS slowloris,0.9693877551020408,0.9878682842287695,0.9785407725321889,577,6.407723442656215e-05,0.012131715771230503
FTP-Patator,0.9961977186311787,0.9911727616645649,0.9936788874841973,793,1.0687757174157003e-05,0.008827238335435058
Heartbleed,0.16666666666666666,1.0,0.2857142857142857,1,1.7762809650179228e-05,0.0
Infiltration,0.2857142857142857,1.0,0.4444444444444445,4,3.552599792528172e-05,0.0
PortScan,0.9998734657724915,0.9952141057934509,0.9975383450104147,15880,7.529893677901268e-06,0.004785894206549119
SSH-Patator,0.9074074074074074,0.9966101694915255,0.9499192245557351,590,0.00021360066643407927,0.003389830508474576
Web Attack � Brute Force,0.5373134328358209,0.9536423841059603,0.6873508353221957,151,0.00044075254943359745,0.046357615894039736
Web Attack � Sql Injection,0.0,0.0,0.0,2,0.0,1.0
Web Attack � XSS,0.0,0.0,0.0,65,0.0,1.0

### Global Metrics
test_accuracy,test_weighted_f1,test_loss,recall,precision,test_fpr,test_fnr,test_auc,global_FPR,global_FNR,time_seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
0.996312453816859,0.9971641214230295,0.055745095014572144,0.996312453816859,0.9984631628081251,0.0002633961559386444,0.003687546183141022,99.99706491010804,0.0002633961559386444,0.003687546183141022,1439.0125284194946,"(11122.69140625,)","(513.875,)","(1238.36328125,)","(110.0,)"
