### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.9999822462095658,0.9943025098084214,0.9971342900452539,226591,7.286372661529774e-05,0.0056974901915786596
Bot,0.1358198451794511,0.9846938775510204,0.23871366728509583,196,0.004365570297057862,0.015306122448979591
DDoS,0.9992955541640576,0.9971881590252285,0.9982407443606083,12803,3.3496473565699614e-05,0.0028118409747715377
DoS GoldenEye,0.9900497512437811,0.966958211856171,0.9783677482792528,1029,3.5655835612335494e-05,0.03304178814382896
DoS Hulk,0.9969986112977647,1.0,0.9984970501805783,22256,0.00025845574620417234,0.0
DoS Slowhttptest,0.9388111888111889,0.9763636363636363,0.9572192513368983,550,0.00012458264812876863,0.023636363636363636
DoS slowloris,0.9532710280373832,0.8838821490467937,0.9172661870503598,577,8.899615892578077e-05,0.11611785095320624
FTP-Patator,0.947242206235012,0.9962168978562421,0.9711124769514444,793,0.00015675377188763604,0.0037831021437578815
Heartbleed,0.1,1.0,0.18181818181818182,1,3.197305737032261e-05,0.0
Infiltration,0.13793103448275862,1.0,0.2424242424242424,4,8.88149948132043e-05,0.0
PortScan,0.9998738568274992,0.9982997481108312,0.9990861824484008,15880,7.529893677901268e-06,0.0017002518891687658
SSH-Patator,0.9331210191082803,0.9932203389830508,0.9622331691297209,590,0.0001495204665038555,0.006779661016949152
Web Attack � Brute Force,0.6683673469387755,0.8675496688741722,0.7550432276657061,151,0.00023103964284825672,0.13245033112582782
Web Attack � Sql Injection,0.0,0.0,0.0,2,0.0,1.0
Web Attack � XSS,0.0,0.0,0.0,65,0.0,1.0

### Global Metrics
test_accuracy,test_weighted_f1,test_loss,recall,precision,test_fpr,test_fnr,test_auc,global_FPR,global_FNR,time_seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
0.9944402603308133,0.9960367950614636,0.02549397386610508,0.9944402603308133,0.9981356262268747,0.00039712426208475776,0.005559739669186608,99.99811894907558,0.00039712426208475776,0.005559739669186608,1209.365407705307,"(9645.45703125,)","(483.875,)","(1786.16015625,)","(216.0,)"
