,precision,recall,f1-score,support,FPR,FNR,Test Accuracy,F1 Score,Test Loss,Recall,Precision,AUC,False Positive Rate,False Negative Rate,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
Benign,0.9998025212357301,0.9800535123797098,0.9898295189007578,377109.0,0.00017157133489549426,0.019946487620290155,,,,,,,,,,,,,
backdoor,0.9426305970149254,0.9926326129666012,0.9669856459330143,4072.0,0.00030807147258163895,0.0073673870333988214,,,,,,,,,,,,,
ddos,0.2571428571428571,0.3,0.2769230769230769,30.0,3.239641247112358e-05,0.7,,,,,,,,,,,,,
dos,0.23076923076923078,0.14285714285714285,0.17647058823529413,21.0,1.2460018914308712e-05,0.8571428571428571,,,,,,,,,,,,,
injection,0.2988449699814098,0.47081982955227464,0.3656192615654216,41655.0,0.06047050134505929,0.5291801704477254,,,,,,,,,,,,,
mitm,0.36809815950920244,0.7692307692307693,0.49792531120331945,78.0,0.00012834731031389018,0.23076923076923078,,,,,,,,,,,,,
password,0.3616663250887204,0.6570320001567674,0.46652937984388265,51031.0,0.07874053465006646,0.34296799984323256,,,,,,,,,,,,,
ransomware,0.3331860362350862,0.9856209150326798,0.49801849405548215,765.0,0.001881961480276819,0.01437908496732026,,,,,,,,,,,,,
scanning,0.09790171874717608,0.9974222058552753,0.1783022283664132,5431.0,0.06261501812064625,0.0025777941447247283,,,,,,,,,,,,,
xss,0.9714214454452194,0.6402964056626013,0.7718443516333954,322396.0,0.012647024523523924,0.35970359433739874,,,,,,,,,,,,,
accuracy,0.7967250943198751,0.7967250943198751,0.7967250943198751,0.7967250943198751,0.7967250943198751,0.7967250943198751,,,,,,,,,,,,,
macro avg,0.48614638611695576,0.6935965393693821,0.5188447856660058,802588.0,0.022586100631124977,0.2032749056801248,,,,,,,,,,,,,
weighted avg,0.9043092523261034,0.7967250943198751,0.8304238832440193,802588.0,0.0137329809886244,0.2032749056801248,,,,,,,,,,,,,
0,,,,,,,0.7967250943198751,0.8304238832440193,0.5843100374836443,0.7967250943198751,0.9043092523261034,0.9635857152167105,0.022586100631124977,0.2032749056801248,1983.0398888587952,25886.95703125,521.875,15195.90234375,154.0
