,precision,recall,f1-score,support,FPR,FNR,Test Accuracy,F1 Score,Test Loss,Recall,Precision,AUC,False Positive Rate,False Negative Rate,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
Benign,0.9999488488294458,0.984938041786327,0.992386685315881,377109.0,4.465555291800535e-05,0.01506195821367297,,,,,,,,,,,,,
backdoor,0.9958200147528891,0.9945972495088409,0.9952082565425727,4072.0,2.1289492007674235e-05,0.0054027504911591355,,,,,,,,,,,,,
ddos,0.25,0.3,0.2727272727272727,30.0,3.364242833539757e-05,0.7,,,,,,,,,,,,,
dos,0.19230769230769232,0.23809523809523808,0.21276595744680848,21.0,2.6166039720048295e-05,0.7619047619047619,,,,,,,,,,,,,
injection,0.3073128101037438,0.5233945504741327,0.3872503308199895,41655.0,0.06458124434082896,0.47660544952586725,,,,,,,,,,,,,
mitm,0.7272727272727273,0.717948717948718,0.7225806451612903,78.0,2.6167898219336832e-05,0.28205128205128205,,,,,,,,,,,,,
password,0.37109048335842115,0.6956555819011974,0.4839974095913289,51031.0,0.08005247772291389,0.3043444180988027,,,,,,,,,,,,,
ransomware,0.7671092951991828,0.9816993464052287,0.8612385321100917,765.0,0.00028435203280524504,0.018300653594771243,,,,,,,,,,,,,
scanning,0.12296154385309098,0.9690664702633033,0.21823233056206331,5431.0,0.04709109999661296,0.03093352973669674,,,,,,,,,,,,,
xss,0.977972245953497,0.6568784972518269,0.7858930754943491,322396.0,0.009933526589364255,0.34312150274817305,,,,,,,,,,,,,
accuracy,0.8106774584220048,0.8106774584220048,0.8106774584220048,0.8106774584220048,0.8106774584220048,0.8106774584220048,,,,,,,,,,,,,
macro avg,0.571179566163069,0.7062273693634814,0.5932280495771648,802588.0,0.021035837953110575,0.1893225415779952,,,,,,,,,,,,,
weighted avg,0.9089348106258941,0.8106774584220048,0.8402842869537339,802588.0,0.012772080515730594,0.1893225415779952,,,,,,,,,,,,,
0,,,,,,,0.8106774584220048,0.8402842869537339,0.4733556457324661,0.8106774584220048,0.9089348106258941,0.9637595599623843,0.021035837953110575,0.1893225415779952,3900.4818229675293,26056.8203125,631.875,15402.25390625,264.0
