,precision,recall,f1-score,support,FPR,FNR,Test Accuracy,F1 Score,Test Loss,Recall,Precision,AUC,False Positive Rate,False Negative Rate,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
Benign,0.999938028943178,0.9841133465390643,0.9919625793518211,377109.0,5.40567219533749e-05,0.015886653460935696,,,,,,,,,,,,,
backdoor,0.9832564911429265,0.9950884086444007,0.9891370682289758,4072.0,8.64102910899719e-05,0.004911591355599214,,,,,,,,,,,,,
ddos,0.2571428571428571,0.3,0.2769230769230769,30.0,3.239641247112358e-05,0.7,,,,,,,,,,,,,
dos,0.22727272727272727,0.23809523809523808,0.23255813953488372,21.0,2.118203215432481e-05,0.7619047619047619,,,,,,,,,,,,,
injection,0.30860091254104305,0.5212099387828592,0.38766873794728945,41655.0,0.06392415626605759,0.4787900612171408,,,,,,,,,,,,,
mitm,0.44680851063829785,0.8076923076923077,0.5753424657534246,78.0,9.719505052896538e-05,0.19230769230769232,,,,,,,,,,,,,
password,0.3680258899676375,0.6685348121729929,0.4747201369224454,51031.0,0.07795017543579529,0.3314651878270071,,,,,,,,,,,,,
ransomware,0.6354430379746835,0.984313725490196,0.7723076923076921,765.0,0.0005387722726836222,0.01568627450980392,,,,,,,,,,,,,
scanning,0.11851025674670866,0.9977904621616646,0.2118576147936744,5431.0,0.05056343982427552,0.0022095378383354815,,,,,,,,,,,,,
xss,0.9771693282496178,0.6582153624734798,0.7865890725776559,322396.0,0.010325036652005863,0.34178463752652016,,,,,,,,,,,,,
accuracy,0.8091972469062583,0.8091972469062583,0.8091972469062583,0.8091972469062583,0.8091972469062583,0.8091972469062583,,,,,,,,,,,,,
macro avg,0.5322168040619677,0.7155053602052204,0.569906658434094,802588.0,0.021200305899304637,0.19080275309374176,,,,,,,,,,,,,
weighted avg,0.9082337572292697,0.8091972469062583,0.8396240909706729,802588.0,0.012790067865273902,0.19080275309374176,,,,,,,,,,,,,
0,,,,,,,0.8091972469062583,0.8396240909706729,0.4793497628536579,0.8091972469062583,0.9082337572292697,0.960526523458476,0.021200305899304637,0.19080275309374176,3396.4856338500977,26199.36328125,589.875,15589.5,222.0
