,precision,recall,f1-score,support,FPR,FNR,Test Accuracy,F1 Score,Test Loss,Recall,Precision,AUC,False Positive Rate,False Negative Rate,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
Benign,0.9999407207814078,0.9840735702409649,0.9919436967579662,377109.0,5.1706429694532515e-05,0.015926429759035188,,,,,,,,,,,,,
backdoor,0.9775687409551375,0.9953339882121808,0.9863713798977853,4072.0,0.00011646604451257081,0.004666011787819254,,,,,,,,,,,,,
ddos,0.22448979591836735,0.36666666666666664,0.2784810126582279,30.0,4.734860284241139e-05,0.6333333333333333,,,,,,,,,,,,,
dos,0.35714285714285715,0.23809523809523808,0.2857142857142857,21.0,1.1214017022877841e-05,0.7619047619047619,,,,,,,,,,,,,
injection,0.30713057208108946,0.5230104429240188,0.3870005062661539,41655.0,0.06458912939772621,0.4769895570759813,,,,,,,,,,,,,
mitm,0.49242424242424243,0.8333333333333334,0.6190476190476191,78.0,8.348805622359846e-05,0.16666666666666666,,,,,,,,,,,,,
password,0.36804835924006907,0.6681428935353021,0.4746399760564067,51031.0,0.07789695259308342,0.3318571064646979,,,,,,,,,,,,,
ransomware,0.6361323155216285,0.9803921568627451,0.771604938271605,765.0,0.0005350307985677637,0.0196078431372549,,,,,,,,,,,,,
scanning,0.11834720129288694,0.9977904621616646,0.21159703240921515,5431.0,0.050642470680179685,0.0022095378383354815,,,,,,,,,,,,,
xss,0.9778049681411026,0.6568722937009144,0.7858346197233272,322396.0,0.010010579101692656,0.3431277062990856,,,,,,,,,,,,,
accuracy,0.8087100729141228,0.8087100729141228,0.8087100729141228,0.8087100729141228,0.8087100729141228,0.8087100729141228,,,,,,,,,,,,,
macro avg,0.5459029773498789,0.7243711045733028,0.5792235066802592,802588.0,0.021254436342875244,0.1912899270858772,,,,,,,,,,,,,
weighted avg,0.9083927795480923,0.8087100729141228,0.8392616111530129,802588.0,0.01269445863566855,0.1912899270858772,,,,,,,,,,,,,
0,,,,,,,0.8087100729141228,0.8392616111530129,0.4842643737332522,0.8087100729141228,0.9083927795480923,0.9576277459489215,0.021254436342875244,0.1912899270858772,3414.674682378769,26090.2421875,577.875,15394.93359375,210.0
