### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,0.9998302049264828,0.9837275164474992,0.9917134991970133,251406,0.00014806823830525325,0.016272483552500737
backdoor,0.965790421317969,0.9882092851879145,0.9768712438535785,2714,0.00017845570072039748,0.011790714812085483
ddos,0.0,0.0,0.0,20,0.0,1.0
dos,0.0,0.0,0.0,14,0.0,1.0
injection,0.24302099386100093,0.6927979834353619,0.3598226976883369,27770,0.11813187354742563,0.3072020165646381
mitm,0.5591397849462365,1.0,0.7172413793103448,52,7.663451132415089e-05,0.0
password,0.47540253293451284,0.21957026542429675,0.3003981179876945,34021,0.016451845967770908,0.7804297345757032
ransomware,0.5680473372781065,0.9411764705882353,0.7084870848708488,510,0.0006828186003528208,0.058823529411764705
scanning,0.08857461853368069,0.19718309859154928,0.12223934257832564,3621,0.01382475472209364,0.8028169014084507
xss,0.9178887250272029,0.7731830215278391,0.8393446100540939,214931,0.04643767493002799,0.22681697847216084

### Global Metrics
test_accuracy,test_weighted_f1,test_loss,recall,precision,test_fpr,test_fnr,test_auc,global_FPR,global_FNR,time_seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
0.8300636004627527,0.847436456969845,0.42428624629974365,0.8300636004627527,0.8874331240836069,0.018881822170805255,0.1699363995372473,97.5184816158751,0.018881822170805255,0.1699363995372473,3376.8139057159424,"(19144.26171875,)","(623.875,)","(2353.81640625,)","(216.0,)"
