### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,0.9998539601148847,0.9803743745177124,0.990018356583667,251406,0.0001269156328330742,0.019625625482287613
backdoor,0.9417339417339418,0.9885777450257922,0.9645874528132302,2714,0.0003118278559956419,0.011422254974207811
ddos,0.0,0.0,0.0,20,0.0,1.0
dos,0.0,0.0,0.0,14,0.0,1.0
injection,0.23821834498781405,0.7532229024126755,0.3619609607530975,27770,0.131855806059268,0.24677709758732444
mitm,0.5227272727272727,0.8846153846153846,0.6571428571428571,52,7.850364574669116e-05,0.11538461538461539
password,0.3737793191567035,0.48152611622233327,0.42086603553032154,34021,0.05477828029011771,0.5184738837776668
ransomware,0.6820083682008368,0.9588235294117647,0.7970660146699267,510,0.0004265277832340908,0.041176470588235294
scanning,0.08136539287247746,0.20933443800055232,0.11718327278348922,3621,0.01610347773399719,0.7906655619994477
xss,0.9605618734673178,0.643322740786578,0.7705682711116312,214931,0.017733531587365053,0.35667725921342197

### Global Metrics
test_accuracy,test_weighted_f1,test_loss,recall,precision,test_fpr,test_fnr,test_auc,global_FPR,global_FNR,time_seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
0.7962056520869661,0.826765626561174,0.416526198387146,0.7962056520869661,0.8978093527472858,0.022643816434781545,0.20379434791303389,97.46971667380681,0.022643816434781545,0.20379434791303389,2770.1958825588226,"(18939.69921875,)","(579.875,)","(2353.83984375,)","(176.0,)"
