### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,0.9989458506500588,0.9837951361542684,0.9913126078408975,251406,0.000920138338039788,0.016204863845731606
backdoor,0.9572039942938659,0.9889462048636699,0.972816237767307,2714,0.00022541772722576526,0.01105379513633014
ddos,0.0,0.0,0.0,20,0.0,1.0
dos,0.0,0.0,0.0,14,0.0,1.0
injection,0.4204686594352902,0.3657184011523226,0.39118711963639163,27770,0.02759373848043226,0.6342815988476773
mitm,0.5652173913043478,1.0,0.7222222222222222,52,7.476537690161064e-05,0.0
password,0.38663107286105136,0.8556773757385144,0.5326076018844623,34021,0.0921746454360747,0.14432262426148557
ransomware,0.6830985915492958,0.9509803921568627,0.7950819672131147,510,0.00042091557555995804,0.049019607843137254
scanning,0.12242090784044017,0.024578845622756144,0.04093836246550137,3621,0.0012005163349252405,0.9754211543772439
xss,0.9179954813947792,0.7845401547473375,0.8460372890200093,214931,0.047053053778488604,0.21545984525266249

### Global Metrics
test_accuracy,test_weighted_f1,test_loss,recall,precision,test_fpr,test_fnr,test_auc,global_FPR,global_FNR,time_seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
0.856972782440815,0.8658413296997985,0.35670754313468933,0.856972782440815,0.8909215003884723,0.015891913062131672,0.14302721755918507,98.00418260784993,0.015891913062131672,0.14302721755918507,2354.5263872146606,"(16054.81640625,)","(551.875,)","(2847.40234375,)","(284.0,)"
