### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.999947784920285,0.994340471685051,0.9971362452993925,173336,0.00016279280094058063,0.0056595283149490005
Bot,0.4617283950617284,0.9540816326530612,0.6222961730449251,196,0.0009543613877640363,0.04591836734693878
DDoS,0.838928383359663,0.9782024714099317,0.9032280925551894,13029,0.011350142862443876,0.02179752859006831
DoS GoldenEye,0.6636432350718064,0.862475442043222,0.7501067919692439,1018,0.001955158763285194,0.137524557956778
DoS Hulk,0.9828016349063113,0.8317610062893082,0.9009951580330422,22260,0.0015700641109511972,0.16823899371069181
DoS Slowhttptest,0.8083941605839416,0.8173431734317343,0.8128440366972477,542,0.0004603668027306328,0.18265682656826568
DoS slowloris,0.9026717557251909,0.8113207547169812,0.8545618789521229,583,0.0002236469360369763,0.18867924528301888
FTP-Patator,0.8794489092996556,0.9883870967741936,0.9307411907654921,775,0.0004608375832799347,0.011612903225806452
Heartbleed,0.0,0.0,0.0,0,0.0010672685361362254,
Infiltration,0.010309278350515464,1.0,0.020408163265306124,1,0.00041991076896159563,0.0
PortScan,0.981596602449683,0.9914211115255501,0.9864843967463582,16086,0.0014068271108288047,0.008578888474449832
SSH-Patator,0.9180064308681672,0.9794168096054888,0.9477178423236515,583,0.0002236469360369763,0.02058319039451115
Web Attack � Brute Force,0.0,0.0,0.0,151,0.00010942355670328708,1.0
Web Attack � Sql Injection,0.0009765625,0.3333333333333333,0.0019474196689386564,3,0.004474713277169777,0.6666666666666666
Web Attack � XSS,0.18243243243243243,0.9310344827586207,0.3050847457627119,58,0.001058789042845955,0.06896551724137931

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_gat_no_sampling,97.82496890270335,0.975137891969679,0.9836468842103985,0.975137891969679,228621,0.0017758648593086375,0.024862108030320924,1278.3884940147,8371.88671875,4129.875,3619.6171875,3262.0
