### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,1.0,0.970260072921955,0.9849055830310057,173336,0.0,0.029739927078044952
Bot,0.04418394950405771,1.0,0.08462867012089811,196,0.018561891211557404,0.0
DDoS,0.8431359576579557,0.9781257195486991,0.9056281978396817,13029,0.010997625143790123,0.021874280451300944
DoS GoldenEye,0.6391526661796932,0.8595284872298625,0.7331378299120235,1018,0.002170445908006485,0.14047151277013753
DoS Hulk,0.9764618957145873,0.8311769991015274,0.8979809745680449,22260,0.002161261091000722,0.1688230008984726
DoS Slowhttptest,0.8446969696969697,0.8228782287822878,0.8336448598130841,542,0.00035952455070392274,0.17712177121771217
DoS slowloris,0.9096153846153846,0.8113207547169812,0.85766092475068,583,0.00020610599987721343,0.18867924528301888
FTP-Patator,0.8805460750853242,0.9987096774193548,0.935912938331318,775,0.0004608375832799347,0.0012903225806451613
Heartbleed,0.0,0.0,0.0,0,0.0005642526277113651,
Infiltration,0.006289308176100629,1.0,0.0125,1,0.0006911031405826261,0.0
PortScan,0.980992803100203,0.9914211115255501,0.9861793896670067,16086,0.0014538781847695673,0.008578888474449832
SSH-Patator,0.9106858054226475,0.9794168096054888,0.943801652892562,583,0.00024557310623667984,0.02058319039451115
Web Attack � Brute Force,0.0,0.0,0.0,151,0.00018820851752965377,1.0
Web Attack � Sql Injection,0.0008833922261484099,0.3333333333333333,0.0017621145374449338,3,0.004947117024906175,0.6666666666666666
Web Attack � XSS,0.18120805369127516,0.9310344827586207,0.30337078651685395,58,0.0010675393655141033,0.06896551724137931

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_gat_sampling,96.83262588831775,0.9568937236736783,0.9828879737908319,0.9568937236736783,228621,0.0030790197375944093,0.043106276326321726,748.7355010509,8322.73828125,2887.875,3614.5703125,2024.0
