### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,1.0,0.9899155397609267,0.9949322169521402,173336,0.0,0.010084460239073246
Bot,0.2422360248447205,0.9948979591836735,0.3896103896103897,196,0.002670460763926891,0.00510204081632653
DDoS,0.8430879237288136,0.9773582009363727,0.9052713894714393,13029,0.010992986752755205,0.02264179906362729
DoS GoldenEye,0.6361655773420479,0.8605108055009824,0.7315240083507306,1018,0.002201201214395241,0.13948919449901767
DoS Hulk,0.9748696064485538,0.831266846361186,0.8973594238742998,22260,0.0023114832744559294,0.16873315363881403
DoS Slowhttptest,0.6861538461538461,0.8228782287822878,0.7483221476510067,542,0.0008944269310195152,0.17712177121771217
DoS slowloris,0.9113680154142582,0.8113207547169812,0.8584392014519056,583,0.00020172076583727273,0.18867924528301888
FTP-Patator,0.8775510204081632,0.9987096774193548,0.9342184671092335,775,0.0004740043713736471,0.0012903225806451613
Heartbleed,0.0,0.0,0.0,0,0.00059049693597701,
Infiltration,0.006802721088435374,1.0,0.013513513513513513,1,0.0006386142944624267,0.0
PortScan,0.9797272392185772,0.9914211115255501,0.9855394883203559,16086,0.001552685440045169,0.008578888474449832
SSH-Patator,0.9166666666666666,0.9811320754716981,0.947804473902237,583,0.00022803217007691702,0.018867924528301886
Web Attack � Brute Force,0.0,0.0,0.0,151,0.0002888781896966779,1.0
Web Attack � Sql Injection,0.0008576329331046312,0.3333333333333333,0.001710863986313088,3,0.0050958367232676344,0.6666666666666666
Web Attack � XSS,0.1806020066889632,0.9310344827586207,0.3025210084033613,58,0.0010719145268481775,0.06896551724137931

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_gcn,97.58606190849845,0.9717654983575437,0.9824311988993754,0.9717654983575437,228621,0.0020167501173183064,0.02823450164245629,831.5429801941,7913.66796875,2741.875,4238.0859375,2010.0
