### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.9999709241469145,0.9920558914478239,0.9959976831740516,173336,9.044044496698923e-05,0.007944108552176121
Bot,0.24613402061855671,0.9744897959183674,0.3930041152263375,196,0.0025610156506511985,0.025510204081632654
DDoS,0.8438852273483789,0.9729065929848799,0.9038146167557932,13029,0.010877026976882259,0.027093407015120117
DoS GoldenEye,0.7065481002425222,0.8585461689587426,0.7751662971175167,1018,0.001594882317016911,0.14145383104125736
DoS Hulk,0.9791314454775993,0.8325696316262354,0.8999223074681948,22260,0.001914121369832478,0.1674303683737646
DoS Slowhttptest,0.861003861003861,0.8228782287822878,0.841509433962264,542,0.00031568009330100536,0.17712177121771217
DoS slowloris,0.9078694817658349,0.8113207547169812,0.8568840579710144,583,0.00021049123391715416,0.18867924528301888
FTP-Patator,0.873589164785553,0.9987096774193548,0.9319686935580975,775,0.0004915600888319304,0.0012903225806451613
Heartbleed,0.0,0.0,0.0,0,0.0011110090499123002,
Infiltration,0.008,1.0,0.015873015873015872,1,0.000542384743242061,0.0
PortScan,0.9817778872198966,0.9914211115255501,0.9865759356634703,16086,0.0013927117886465758,0.008578888474449832
SSH-Patator,0.9239482200647249,0.9794168096054888,0.9508742714404661,583,0.00020610599987721343,0.02058319039451115
Web Attack � Brute Force,0.0,0.0,0.0,151,0.000135685210312076,1.0
Web Attack � Sql Injection,0.0008312551953449709,0.3333333333333333,0.0016583747927031507,3,0.005257678747955104,0.6666666666666666
Web Attack � XSS,0.18305084745762712,0.9310344827586207,0.30594900849858353,58,0.0010544138815118808,0.06896551724137931

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_graphsage_mean_no_sampling,97.7323155187574,0.9732308055690422,0.9837419436436223,0.9732308055690422,228621,0.0019120853164969847,0.026769194430957786,800.2176976204,8096.140625,2801.875,3637.01171875,1890.0
