### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.9999587045012094,0.9778868786634052,0.9887996359881696,173336,0.00012661662295378493,0.02211312133659482
Bot,0.06178217821782178,0.7959183673469388,0.11466372657111355,196,0.010371018934004597,0.20408163265306123
DDoS,0.8001007049345418,0.9756696599892547,0.8792060033890098,13029,0.014731529926898957,0.02433034001074526
DoS GoldenEye,0.5703225806451613,0.8683693516699411,0.6884735202492213,1018,0.0029261477221302003,0.13163064833005894
DoS Hulk,0.9702705536912751,0.8313117699910153,0.8954321107132488,22260,0.002747612194164595,0.16868823000898472
DoS Slowhttptest,0.7785588752196837,0.8173431734317343,0.7974797479747975,542,0.0005524401632767594,0.18265682656826568
DoS slowloris,0.904397705544933,0.8113207547169812,0.8553345388788427,583,0.0002192617019970356,0.18867924528301888
FTP-Patator,0.8805460750853242,0.9987096774193548,0.935912938331318,775,0.0004608375832799347,0.0012903225806451613
Heartbleed,0.0,0.0,0.0,0,0.00013559559270583192,
Infiltration,0.001358695652173913,1.0,0.00271370420624152,1,0.003214941824862217,0.0
PortScan,0.980992803100203,0.9914211115255501,0.9861793896670067,16086,0.0014538781847695673,0.008578888474449832
SSH-Patator,0.8878504672897196,0.6518010291595198,0.751730959446093,583,0.00021049123391715416,0.3481989708404803
Web Attack � Brute Force,0.0,0.0,0.0,151,8.753884536262967e-05,1.0
Web Attack � Sql Injection,0.0029940119760479044,0.3333333333333333,0.005934718100890207,3,0.0014565782221872294,0.6666666666666666
Web Attack � XSS,0.1806020066889632,0.9310344827586207,0.3025210084033613,58,0.0010719145268481775,0.06896551724137931

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_graphsage_mean,96.87698932948473,0.961565210544963,0.9792813984643634,0.961565210544963,228621,0.00274534210393121,0.038434789455036936,721.0613453388,8178.6953125,2805.875,3519.1328125,1942.0
