### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.9999880406379124,0.9647793880094152,0.9820682446141603,173336,3.617617798679569e-05,0.03522061199058476
Bot,0.6185897435897436,0.9846938775510204,0.7598425196850395,196,0.000520958739192295,0.015306122448979591
DDoS,0.8221606291091917,0.978969990022258,0.8937392705742214,13029,0.01279732086533823,0.02103000997774196
DoS GoldenEye,0.654275092936803,0.8644400785854617,0.7448159119763014,1018,0.002043031067253068,0.13555992141453832
DoS Hulk,0.9750595710881652,0.8272237196765498,0.8950783813343055,22260,0.002282408013142018,0.17277628032345013
DoS Slowhttptest,0.39802336028751123,0.8173431734317343,0.5353474320241691,542,0.0029375786459954665,0.18265682656826568
DoS slowloris,0.9078694817658349,0.8113207547169812,0.8568840579710144,583,0.00021049123391715416,0.18867924528301888
FTP-Patator,0.7121418826739427,0.6735483870967742,0.6923076923076923,775,0.0009260640959244401,0.32645161290322583
Heartbleed,0.0,0.0,0.0,0,0.006937245484885466,
Infiltration,0.0011792452830188679,1.0,0.002355712603062426,1,0.0037048377219840783,0.0
PortScan,0.9743997067269505,0.9914211115255501,0.982836717714849,16086,0.001971439998117957,0.008578888474449832
SSH-Patator,0.26192660550458713,0.9794168096054888,0.41331885631559895,583,0.007055841570264605,0.02058319039451115
Web Attack � Brute Force,0.0,0.0,0.0,151,7.003107629010373e-05,1.0
Web Attack � Sql Injection,0.0006006006006006006,0.3333333333333333,0.0011990407673860913,3,0.00727851700216081,0.6666666666666666
Web Attack � XSS,0.1782178217821782,0.9310344827586207,0.29916897506925205,58,0.0010894151721844744,0.06896551724137931

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_graphsage_sum_no_sampling,96.27217139666875,0.9512949379103407,0.9783534433485972,0.9512949379103407,228621,0.003478933006404236,0.04870506208965931,759.3462634087,8395.50390625,2801.875,3995.80859375,1938.0
