### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,1.0,0.9928866478977246,0.9964306288519825,173336,0.0,0.0071133521022753495
Bot,0.3135048231511254,0.9948979591836735,0.4767726161369193,196,0.0018693225347488234,0.00510204081632653
DDoS,0.8095026642984015,0.9794305011896538,0.8863959990275413,13029,0.013929088277858177,0.02056949881034615
DoS GoldenEye,0.626770538243626,0.869351669941061,0.728395061728395,1018,0.002315435209553477,0.13064833005893908
DoS Hulk,0.9841945612261189,0.8308176100628931,0.9010255535796935,22260,0.0014392254350385975,0.1691823899371069
DoS Slowhttptest,0.851145038167939,0.8228782287822878,0.8367729831144464,542,0.0003419867677427558,0.17712177121771217
DoS slowloris,0.9292730844793713,0.8113207547169812,0.8663003663003663,583,0.00015786842543786563,0.18867924528301888
FTP-Patator,0.8463901689708141,0.7109677419354838,0.7727910238429171,775,0.00043889293645708063,0.28903225806451616
Heartbleed,0.0,0.0,0.0,0,0.002265758613600675,
Infiltration,0.023255813953488372,1.0,0.04545454545454545,1,0.00018371096142069811,0.0
PortScan,0.9753531894073757,0.9914211115255501,0.9833215155532263,16086,0.0018961582798127368,0.008578888474449832
SSH-Patator,0.9270664505672609,0.9811320754716981,0.9533333333333333,583,0.00019733553179733204,0.018867924528301886
Web Attack � Brute Force,0.0,0.0,0.0,151,8.753884536262967e-05,1.0
Web Attack � Sql Injection,0.0025,0.3333333333333333,0.004962779156327543,3,0.001745269401359473,0.6666666666666666
Web Attack � XSS,0.18243243243243243,0.9310344827586207,0.3050847457627119,58,0.001058789042845955,0.06896551724137931

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_graphsage_sum,97.58801290644449,0.9731564466956228,0.9814948875281826,0.9731564466956228,228621,0.0019173966645983653,0.026843553304377113,713.5458927155,8293.0546875,2775.875,3356.2265625,1912.0
