### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.9999942119915958,0.9945085307729502,0.9972438274722578,173724,1.8215931653824435e-05,0.005491469227049803
Bot,0.5558739255014327,0.9897959183673469,0.7119266055045872,196,0.0006785597023092919,0.01020408163265306
DDoS,0.829788657035848,0.9690697492775131,0.894037110430553,12803,0.011792343548730875,0.030930250722486917
DoS GoldenEye,0.6178521617852162,0.8610301263362488,0.7194478278522126,1029,0.002407817497978839,0.13896987366375121
DoS Hulk,0.972434110158346,0.8305625449317038,0.8959166363746516,22256,0.0025391902696678217,0.1694374550682962
DoS Slowhttptest,0.7624784853700516,0.8054545454545454,0.7833775419982315,550,0.0006050747354990332,0.19454545454545455
DoS slowloris,0.8492366412213741,0.7712305025996534,0.8083560399636693,577,0.00034642437424356703,0.22876949740034663
FTP-Patator,0.8723150357995226,0.9218158890290038,0.8963825873697118,793,0.0004696525449022947,0.07818411097099622
Heartbleed,0.006622516556291391,1.0,0.013157894736842105,1,0.0006561105765024932,0.0
Infiltration,0.03508771929824561,1.0,0.06779661016949151,4,0.0004811540699073122,0.0
PortScan,0.9782107949947083,0.9894836272040303,0.9838149203268323,15880,0.0016451929811366873,0.010516372795969774
SSH-Patator,0.8967642526964561,0.9864406779661017,0.9394673123486683,590,0.0002938196999530766,0.013559322033898305
Web Attack � Brute Force,0.0,0.0,0.0,151,0.00014006215258020746,1.0
Web Attack � Sql Injection,0.0,0.0,0.0,2,0.003783587540843062,1.0
Web Attack � XSS,0.20069204152249134,0.8923076923076924,0.327683615819209,65,0.001010693221792471,0.1076923076923077

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_gat_no_sampling,97.68038579164107,0.9741843487693607,0.9815869154699008,0.9741843487693607,228621,0.001843975087902811,0.025815651230639357,1420.903888464,8323.9453125,4129.875,3161.859375,3264.0
