### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.9999941132146557,0.9778211415808984,0.9887833385720439,173724,1.8215931653824435e-05,0.02217885841910156
Bot,0.0624,0.9948979591836735,0.11743450767841011,196,0.01282696727591113,0.00510204081632653
DDoS,0.8159441107338731,0.976099351714442,0.8888651801273161,12803,0.01306193181291644,0.023900648285558074
DoS GoldenEye,0.6347826086956522,0.8513119533527697,0.7272727272727273,1029,0.002214489085732363,0.14868804664723032
DoS Hulk,0.9704135792737401,0.8297088425593099,0.8945621896572605,22256,0.002728175805005694,0.17029115744069015
DoS Slowhttptest,0.7717770034843205,0.8054545454545454,0.7882562277580071,550,0.0005743825387708214,0.19454545454545455
DoS slowloris,0.8476190476190476,0.7712305025996534,0.8076225045372052,577,0.000350809492904878,0.22876949740034663
FTP-Patator,0.7775590551181102,0.49810844892812106,0.6072252113758647,793,0.0004959882016257878,0.501891551071879
Heartbleed,0.05263157894736842,1.0,0.1,1,7.873326918029919e-05,0.0
Infiltration,0.024390243902439025,1.0,0.047619047619047616,4,0.0006998604653197268,0.0
PortScan,0.9553137159533074,0.9894836272040303,0.9720984904726554,15880,0.0034549052603870434,0.010516372795969774
SSH-Patator,0.8979907264296755,0.9847457627118644,0.9393694421988683,590,0.0002894343312970605,0.015254237288135594
Web Attack � Brute Force,0.16666666666666666,0.046357615894039736,0.07253886010362695,151,0.00015319297938460192,0.9536423841059603
Web Attack � Sql Injection,0.0,0.0,0.0,2,0.0029568845983929597,1.0
Web Attack � XSS,0.19594594594594594,0.8923076923076924,0.32132963988919666,65,0.0010413202891195155,0.1076923076923077

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_gat_sampling,96.77179501332265,0.9603317280564777,0.9784790708431587,0.9603317280564777,228621,0.002833447995965875,0.03966827194352225,858.7789394855,8429.1640625,2887.875,3685.5859375,2024.0
