### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.9999941848293828,0.9898632313324583,0.9949029182384115,173724,1.8215931653824435e-05,0.010136768667541618
Bot,0.21271929824561403,0.9897959183673469,0.3501805054151625,196,0.0031432636532778813,0.01020408163265306
DDoS,0.8419916340574821,0.9747715379207998,0.9035294117647059,12803,0.010851736185118943,0.025228462079200188
DoS GoldenEye,0.5951742627345844,0.8629737609329446,0.7044823482744942,1029,0.0026538718408379907,0.13702623906705538
DoS Hulk,0.9731851227478664,0.8300233644859814,0.8959212376933896,22256,0.0024665035253071013,0.1699766355140187
DoS Slowhttptest,0.6921875,0.8054545454545454,0.7445378151260503,550,0.0008637661079225329,0.19454545454545455
DoS slowloris,0.859073359073359,0.7712305025996534,0.8127853881278538,577,0.0003201136622757012,0.22876949740034663
FTP-Patator,0.8473895582329317,0.798234552332913,0.8220779220779221,793,0.0005003774777463701,0.201765447667087
Heartbleed,0.010638297872340425,1.0,0.021052631578947368,1,0.0004067885574315458,0.0
Infiltration,0.02531645569620253,1.0,0.04938271604938272,4,0.0006736156978702371,0.0
PortScan,0.9697586866629636,0.9894836272040303,0.9795218651622354,15880,0.0023032701735913623,0.010516372795969774
SSH-Patator,0.9051321928460342,0.9864406779661017,0.9440389294403894,590,0.0002675074880169801,0.013559322033898305
Web Attack � Brute Force,0.07058823529411765,0.039735099337748346,0.05084745762711864,151,0.00034577843918238716,0.9602649006622517
Web Attack � Sql Injection,0.0,0.0,0.0,2,0.0046190386625783505,1.0
Web Attack � XSS,0.1901639344262295,0.8923076923076924,0.31351351351351353,65,0.0010806979471114301,0.1076923076923077

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_gcn,97.4582467415557,0.9705276418176808,0.981194377336566,0.9705276418176808,228621,0.002105168441594229,0.02947235818231921,894.9041821957,7658.3359375,2741.875,4015.60546875,2010.0
