### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.9999941815473593,0.9893048743984711,0.9946208089909748,173724,1.8215931653824435e-05,0.010695125601528861
Bot,0.21271929824561403,0.9897959183673469,0.3501805054151625,196,0.0031432636532778813,0.01020408163265306
DDoS,0.8309915429180262,0.9746934312270562,0.8971243709561467,12803,0.011759908812054602,0.025306568772943842
DoS GoldenEye,0.5728092783505154,0.8639455782312925,0.6888802789616428,1029,0.002913107666350311,0.1360544217687075
DoS Hulk,0.9738506959088992,0.8299784327821711,0.8961769842810013,22256,0.002403508346861144,0.1700215672178289
DoS Slowhttptest,0.6987381703470031,0.8054545454545454,0.7483108108108109,550,0.0008374585107269228,0.19454545454545455
DoS slowloris,0.8607350096711799,0.7712305025996534,0.8135283363802559,577,0.0003157285436143902,0.22876949740034663
FTP-Patator,0.871331828442438,0.9735182849936949,0.919594997022037,793,0.0005003774777463701,0.02648171500630517
Heartbleed,0.008620689655172414,1.0,0.017094017094017096,1,0.0005030181086519115,0.0
Infiltration,0.02197802197802198,1.0,0.043010752688172046,4,0.0007785947676681961,0.0
PortScan,0.9794302811194914,0.9894836272040303,0.9844312877862357,15880,0.0015511819536431623,0.010516372795969774
SSH-Patator,0.8967642526964561,0.9864406779661017,0.9394673123486683,590,0.0002938196999530766,0.013559322033898305
Web Attack � Brute Force,0.0,0.0,0.0,151,0.0003501553814505187,1.0
Web Attack � Sql Injection,0.0,0.0,0.0,2,0.003914810230120856,1.0
Web Attack � XSS,0.19141914191419143,0.8923076923076924,0.3152173913043479,65,0.0010719473564465602,0.1076923076923077

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_graphsage_mean_no_sampling,97.46092675267808,0.970680733615897,0.9812493494544973,0.970680733615897,228621,0.0020942333131502107,0.029319266384102947,895.4916660786,8215.47265625,2801.875,3963.61328125,1890.0
