### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.9999289263736459,0.9718116092192213,0.9856697892066569,173724,0.00021859117984589322,0.028188390780778706
Bot,0.04660045836516425,0.9336734693877551,0.08877031287897162,196,0.01639050016416767,0.0663265306122449
DDoS,0.842914483978502,0.967741935483871,0.9010253799723656,12803,0.010698829569359367,0.03225806451612903
DoS GoldenEye,0.5910904255319149,0.8639455782312925,0.7019344650611923,1029,0.0027022039438996098,0.1360544217687075
DoS Hulk,0.9695048467382761,0.8313713156002875,0.8951404175032049,22256,0.0028202456811959394,0.16862868439971243
DoS Slowhttptest,0.8113553113553114,0.8054545454545454,0.8083941605839415,550,0.00045161375185797406,0.19454545454545455
DoS slowloris,0.8412098298676749,0.7712305025996534,0.8047016274864377,577,0.0003683499675501219,0.22876949740034663
FTP-Patator,0.8810325476992144,0.9899117276166457,0.9323040380047506,793,0.00046526326878171254,0.01008827238335435
Heartbleed,0.008130081300813009,1.0,0.01612903225806452,1,0.0005336366022220279,0.0
Infiltration,0.009280742459396751,1.0,0.01839080459770115,4,0.001867752616822021,0.0
PortScan,0.9802245789145353,0.9894836272040303,0.984832340958947,15880,0.001490074785772371,0.010516372795969774
SSH-Patator,0.8831562974203339,0.9864406779661017,0.9319455564451561,590,0.00033767338651323725,0.013559322033898305
Web Attack � Brute Force,0.19444444444444445,0.046357615894039736,0.07486631016042782,151,0.000126931325775813,0.9536423841059603
Web Attack � Sql Injection,0.0,0.0,0.0,2,0.0044878159733005565,1.0
Web Attack � XSS,0.19594594594594594,0.8923076923076924,0.32132963988919666,65,0.0010413202891195155,0.1076923076923077

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_graphsage_mean,96.79853302700715,0.9571736629618451,0.9817891017584783,0.9571736629618451,228621,0.003059024074153918,0.04282633703815485,817.0839188099,8091.04296875,2805.875,3530.62109375,1942.0
