### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.9999940925578044,0.974401924892358,0.987032145585157,173724,1.8215931653824435e-05,0.025598075107642008
Bot,0.6390728476821192,0.9846938775510204,0.7751004016064258,196,0.00047718069388201815,0.015306122448979591
DDoS,0.8030565722725229,0.9768023119581348,0.8814491119255708,12803,0.0142110481980187,0.02319768804186519
DoS GoldenEye,0.6072652501713502,0.8610301263362488,0.7122186495176849,1029,0.002517663186755246,0.13896987366375121
DoS Hulk,0.9743440233236151,0.8258896477354422,0.8939957685853943,22256,0.002345358951372568,0.17411035226455787
DoS Slowhttptest,0.4983127109111361,0.8054545454545454,0.6157053509381515,550,0.0019555313915403535,0.19454545454545455
DoS slowloris,0.8092307692307692,0.4558058925476603,0.5831485587583148,577,0.00027187735700128044,0.5441941074523396
FTP-Patator,0.5540540540540541,0.5687263556116016,0.5612943372744243,793,0.0015933072317713363,0.4312736443883985
Heartbleed,0.0,0.0,0.0,1,0.0,1.0
Infiltration,0.0031974420463629096,1.0,0.006374501992031872,4,0.005454537501585622,0.0
PortScan,0.9705973191673358,0.9894836272040303,0.979949483925286,15880,0.0022374624543458946,0.010516372795969774
SSH-Patator,0.2599374720857526,0.9864406779661017,0.41145281018027574,590,0.0072665558630186245,0.013559322033898305
Web Attack � Brute Force,0.0,0.0,0.0,151,7.003107629010373e-05,1.0
Web Attack � Sql Injection,0.0,0.0,0.0,2,0.004881484041133939,1.0
Web Attack � XSS,0.1901639344262295,0.8923076923076924,0.31351351351351353,65,0.0010806979471114301,0.1076923076923077

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_graphsage_sum_no_sampling,96.44035667953878,0.9568543572112798,0.9762831359591,0.9568543572112798,228621,0.0030818316277657284,0.0431456427887202,869.4561679363,8155.12890625,2801.875,3604.34765625,1938.0
