### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.9999942041417204,0.9931615666229191,0.9965661740710042,173724,1.8215931653824435e-05,0.006838433377080887
Bot,0.44871794871794873,0.7142857142857143,0.5511811023622047,196,0.0007529823793367627,0.2857142857142857
DDoS,0.8185512946574893,0.9753182847770054,0.8900848242925369,12803,0.012825621588560732,0.024681715222994612
DoS GoldenEye,0.5957161981258366,0.8649173955296404,0.705509314308363,1029,0.0026538718408379907,0.13508260447035958
DoS Hulk,0.9811380904309016,0.8297088425593099,0.8990919492660125,22256,0.0017202529498703753,0.17029115744069015
DoS Slowhttptest,0.8406072106261859,0.8054545454545454,0.8226555246053853,550,0.00036830636073854195,0.19454545454545455
DoS slowloris,0.8412098298676749,0.7712305025996534,0.8047016274864377,577,0.0003683499675501219,0.22876949740034663
FTP-Patator,0.8675496688741722,0.9911727616645649,0.9252501471453796,793,0.0005267131344698632,0.008827238335435058
Heartbleed,0.0028089887640449437,1.0,0.005602240896358543,1,0.0015527950310559005,0.0
Infiltration,0.009478672985781991,1.0,0.018779342723004695,4,0.0018283854656477865,0.0
PortScan,0.9875557790208033,0.9894836272040303,0.988518763171967,15880,0.0009307091721858974,0.010516372795969774
SSH-Patator,0.9141494435612083,0.9745762711864406,0.9433962264150944,590,0.00023680990742486768,0.025423728813559324
Web Attack � Brute Force,0.0,0.0,0.0,151,0.000135685210312076,1.0
Web Attack � Sql Injection,0.0,0.0,0.0,2,0.0026244537855558813,1.0
Web Attack � XSS,0.19931271477663232,0.8923076923076924,0.3258426966292135,65,0.0010194438124573409,0.1076923076923077

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_graphsage_sum,97.66970138570233,0.9734188897782793,0.9824577107529681,0.9734188897782793,228621,0.0018986507301229046,0.026581110221720664,829.4208014011,8218.38671875,2775.875,3608.8828125,1912.0
