### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.9988429140053688,0.9942011459503037,0.9965166246756881,173655,0.003638612960739366,0.005798854049696237
Bot,0.07476635514018691,0.038461538461538464,0.0507936507936508,208,0.0004334254179928463,0.9615384615384616
DDoS,0.840122470713525,0.9782979383041389,0.9039604669483635,12902,0.011134855993213393,0.021702061695861107
DoS GoldenEye,0.6237989652623799,0.854251012145749,0.7210593763348996,988,0.0022360554049720384,0.145748987854251
DoS Hulk,0.9742664365291072,0.8323428213950579,0.8977300110848715,22379,0.002385547075765363,0.16765717860494214
DoS Slowhttptest,0.7751277683134583,0.8183453237410072,0.7961504811898512,556,0.0005787823646767368,0.18165467625899281
DoS slowloris,0.8470824949698189,0.7943396226415095,0.8198636806231744,530,0.00033320034547614766,0.20566037735849058
FTP-Patator,0.8784933171324423,0.9958677685950413,0.933505487411233,726,0.0004387985695166634,0.004132231404958678
Heartbleed,0.0,0.0,0.0,0,0.00045927539464878553,
Infiltration,0.013513513513513514,0.5,0.026315789473684213,2,0.00031930854390929887,0.5
PortScan,0.9769757311761046,0.9900990099009901,0.9834935947630533,15857,0.0017390159989471904,0.009900990099009901
SSH-Patator,0.8984848484848484,0.9817880794701986,0.9382911392405062,604,0.00029383774016849624,0.018211920529801324
Web Attack � Brute Force,0.0,0.0,0.0,149,0.00019696067789488428,1.0
Web Attack � Sql Injection,0.0,0.0,0.0,1,0.004470300061236987,1.0
Web Attack � XSS,0.21254355400696864,0.953125,0.3475783475783476,64,0.0009888124187839356,0.046875

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_gat_no_sampling,97.65745924131734,0.9741143639473189,0.9810744833298944,0.9741143639473189,228621,0.001848974003762934,0.025885636052681075,1216.3626739979,8326.92578125,4823.875,3313.34375,3934.0
