### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.9999941678039449,0.9873657539374047,0.9936398380838962,173655,1.819306480369683e-05,0.012634246062595375
Bot,0.16037735849056603,0.9807692307692307,0.2756756756756757,208,0.004675740872892523,0.019230769230769232
DDoS,0.8115997942386831,0.9782979383041389,0.8871863358403036,12902,0.01358248462119702,0.021702061695861107
DoS GoldenEye,0.5422446406052963,0.8704453441295547,0.6682206682206683,988,0.003189344251492534,0.12955465587044535
DoS Hulk,0.9725383731857575,0.832387506144153,0.8970216454385669,22379,0.0025504019549849205,0.167612493855847
DoS Slowhttptest,0.7291666666666666,0.8183453237410072,0.7711864406779662,556,0.0007410168153815798,0.18165467625899281
DoS slowloris,0.8522267206477733,0.7943396226415095,0.8222656250000001,530,0.00032004770025998396,0.20566037735849058
FTP-Patator,0.8763636363636363,0.9958677685950413,0.932301740812379,726,0.00044757454090699666,0.004132231404958678
Heartbleed,0.0,0.0,0.0,0,0.0001618399009714768,
Infiltration,0.011976047904191617,1.0,0.023668639053254437,2,0.0007217247910278673,0.0
PortScan,0.9780712683777723,0.9900990099009901,0.9840483876022439,15857,0.0016544152206200296,0.009900990099009901
SSH-Patator,0.8998482549317147,0.9817880794701986,0.939034045922407,604,0.00028945210225553357,0.018211920529801324
Web Attack � Brute Force,0.0,0.0,0.0,149,0.00017945306208200568,1.0
Web Attack � Sql Injection,0.0,0.0,0.0,1,0.0017496282040066486,1.0
Web Attack � XSS,0.20608108108108109,0.953125,0.33888888888888885,64,0.0010281899044877207,0.046875

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_gat_sampling,97.33287568932535,0.9698584119569068,0.9798667428749315,0.9698584119569068,228621,0.0021529705745066538,0.030141588043093154,722.7318162918,8448.9296875,2861.875,3802.16796875,1998.0
