### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.9997504700447993,0.9920877602142179,0.9959043756991031,173655,0.0007823017865589637,0.007912239785782154
Bot,0.281786941580756,0.7884615384615384,0.4151898734177215,208,0.001830018431525351,0.21153846153846154
DDoS,0.8367374005305039,0.9779879088513409,0.9018654849546137,12902,0.011412995610029715,0.022012091148659124
DoS GoldenEye,0.634789156626506,0.8532388663967612,0.727979274611399,988,0.0021306225371541033,0.14676113360323886
DoS Hulk,0.9785691774346045,0.8324768756423433,0.8996305864741532,22379,0.001978258550634691,0.16752312435765673
DoS Slowhttptest,0.7319422150882825,0.8201438848920863,0.7735368956743002,556,0.0007322473856137505,0.17985611510791366
DoS slowloris,0.843687374749499,0.7943396226415095,0.8182701652089408,530,0.0003419687756202568,0.20566037735849058
FTP-Patator,0.8795620437956204,0.9958677685950413,0.9341085271317828,726,0.0004344105838214967,0.004132231404958678
Heartbleed,0.0,0.0,0.0,0,0.0006911001176619821,
Infiltration,0.0125,1.0,0.02469135802469136,2,0.0006911061635297154,0.0
PortScan,0.9784979744468681,0.9900990099009901,0.9842643094476836,15857,0.001621514917937245,0.009900990099009901
SSH-Patator,0.9012158054711246,0.9817880794701986,0.9397781299524562,604,0.00028506646434257096,0.018211920529801324
Web Attack � Brute Force,0.0,0.0,0.0,149,0.00013568402254980917,1.0
Web Attack � Sql Injection,0.0,0.0,0.0,1,0.004299711311346339,1.0
Web Attack � XSS,0.2103448275862069,0.953125,0.3446327683615819,64,0.001001938247351864,0.046875

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_gcn,97.65385606665699,0.9731914391066437,0.9822325019571911,0.9731914391066437,228621,0.0019148972066683038,0.026808560893356252,827.9331464767,7826.875,2741.875,4152.203125,2010.0
