### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.999878205797404,0.9927787855230198,0.9963158487850969,173655,0.00038205436087763344,0.007221214476980219
Bot,0.2980769230769231,0.8942307692307693,0.4471153846153846,208,0.0019175791220289564,0.10576923076923077
DDoS,0.8430952540330678,0.9762052394977523,0.9047807190833663,12902,0.010865987696957615,0.023794760502247714
DoS GoldenEye,0.6246290801186943,0.8522267206477733,0.7208904109589042,988,0.0022228762964947965,0.14777327935222673
DoS Hulk,0.9770904325032765,0.8328343536351044,0.8992135861436773,22379,0.0021188700652631375,0.16716564636489567
DoS Slowhttptest,0.8272727272727273,0.8183453237410072,0.8227848101265823,556,0.00041654791397189396,0.18165467625899281
DoS slowloris,0.8453815261044176,0.7943396226415095,0.8190661478599223,530,0.00033758456054820224,0.20566037735849058
FTP-Patator,0.8689903846153846,0.9958677685950413,0.9281129653401797,726,0.00047829044077316306,0.004132231404958678
Heartbleed,0.0,0.0,0.0,0,0.0006911001176619821,
Infiltration,0.01904761904761905,1.0,0.03738317757009346,2,0.00045053123318709295,0.0
PortScan,0.9800861476996067,0.9900990099009901,0.9850671351487011,15857,0.001499313793686902,0.009900990099009901
SSH-Patator,0.8984848484848484,0.9817880794701986,0.9382911392405062,604,0.00029383774016849624,0.018211920529801324
Web Attack � Brute Force,0.0,0.0,0.0,149,0.00014881473440946812,1.0
Web Attack � Sql Injection,0.0,0.0,0.0,1,0.004667133234187735,1.0
Web Attack � XSS,0.2103448275862069,0.953125,0.3446327683615819,64,0.001001938247351864,0.046875

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_graphsage_mean_no_sampling,97.71276576869313,0.9737381955288447,0.9828196842661951,0.9737381955288447,228621,0.0018758431765110942,0.02626180447115532,800.9145021439,8016.3984375,2801.875,3648.953125,1890.0
