### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.9999707337059908,0.9837896979643546,0.9918142235123366,173655,9.096532401848416e-05,0.01621030203564539
Bot,0.0934752429430819,0.9711538461538461,0.1705360911777121,208,0.00857656963482814,0.028846153846153848
DDoS,0.842752171008684,0.9778328941249419,0.9052812858783009,12902,0.010912344299760336,0.02216710587505813
DoS GoldenEye,0.6766370250606305,0.847165991902834,0.7523595505617977,988,0.0017572144636322502,0.152834008097166
DoS Hulk,0.9722874589008924,0.8324768756423433,0.8969667790081848,22379,0.002574645319576032,0.16752312435765673
DoS Slowhttptest,0.8154121863799283,0.8183453237410072,0.8168761220825853,556,0.00045162563304321137,0.18165467625899281
DoS slowloris,0.8487903225806451,0.7943396226415095,0.8206627680311891,530,0.0003288161304040931,0.20566037735849058
FTP-Patator,0.7688888888888888,0.4765840220385675,0.58843537414966,726,0.0004563505122973299,0.5234159779614325
Heartbleed,0.0,0.0,0.0,0,0.000118099387195402,
Infiltration,0.013986013986013986,1.0,0.027586206896551724,2,0.0006167466396056321,0.0
PortScan,0.9546974764366069,0.9900990099009901,0.9720760324438115,15857,0.00350153221409637,0.009900990099009901
SSH-Patator,0.8998482549317147,0.9817880794701986,0.939034045922407,604,0.00028945210225553357,0.018211920529801324
Web Attack � Brute Force,0.0,0.0,0.0,149,0.00013568402254980917,1.0
Web Attack � Sql Injection,0.0,0.0,0.0,1,0.005017058874989065,1.0
Web Attack � XSS,0.20962199312714777,0.953125,0.34366197183098596,64,0.0010063135235411735,0.046875

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_graphsage_mean,97.14122265503062,0.965366261192104,0.9803426585285404,0.965366261192104,228621,0.0024738384862782884,0.03463373880789604,691.185888052,8141.21484375,2805.875,3635.2265625,1942.0
