### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.9995707012685475,0.9519737410382655,0.9751917909633347,173655,0.001291707601062475,0.04802625896173447
Bot,0.22811059907834103,0.47596153846153844,0.308411214953271,208,0.001466641565935389,0.5240384615384616
DDoS,0.8043478260869565,0.9750426290497597,0.8815079531917875,12902,0.014185120457632382,0.02495737095024027
DoS GoldenEye,0.6154960173787111,0.8603238866396761,0.7176023638666104,988,0.002332702200471812,0.1396761133603239
DoS Hulk,0.9053401609363569,0.8295276822020644,0.8657774461337562,22379,0.00941127413426945,0.17047231779793556
DoS Slowhttptest,0.3977272727272727,0.8183453237410072,0.5352941176470588,556,0.00302106855501721,0.18165467625899281
DoS slowloris,0.7824773413897281,0.48867924528301887,0.6016260162601625,530,0.0003156634851879294,0.5113207547169811
FTP-Patator,0.6212765957446809,0.8044077134986226,0.7010804321728692,726,0.0015621229074793217,0.19559228650137742
Heartbleed,0.0,0.0,0.0,0,0.006088679517629614,
Infiltration,0.0016666666666666668,1.0,0.0033277870216306157,2,0.005240159391826576,0.0
PortScan,0.98278668002003,0.990162073532194,0.9864605912103792,15857,0.0012925118911093982,0.009837926467806016
SSH-Patator,0.2582752613240418,0.9817880794701986,0.4089655172413793,604,0.007468741365775359,0.018211920529801324
Web Attack � Brute Force,0.4117647058823529,0.04697986577181208,0.08433734939759037,149,4.376903953219651e-05,0.9530201342281879
Web Attack � Sql Injection,0.0,0.0,0.0,1,0.005699413874551658,1.0
Web Attack � XSS,0.09023668639053255,0.953125,0.16486486486486485,64,0.002690794856425312,0.046875

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_graphsage_sum_no_sampling,95.31339420178624,0.940727229782041,0.9700263079103688,0.940727229782041,228621,0.004233769301282784,0.05927277021795898,753.1657786369,8183.50390625,2801.875,3627.88671875,1938.0
