### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
BENIGN,0.9999941854718198,0.990365955486453,0.9951567825296986,173655,1.819306480369683e-05,0.009634044513546975
Bot,0.23314285714285715,0.9807692307692307,0.3767313019390582,208,0.002937661166395958,0.019230769230769232
DDoS,0.8427236315086782,0.9784529530305379,0.9055304497525285,12902,0.01092161562032088,0.021547046969462098
DoS GoldenEye,0.6313432835820896,0.8562753036437247,0.7268041237113402,988,0.002170159862585829,0.1437246963562753
DoS Hulk,0.9831617841119029,0.8322981366459627,0.9014616203658891,22379,0.0015467266609129082,0.16770186335403728
DoS Slowhttptest,0.7483552631578947,0.8183453237410072,0.781786941580756,556,0.0006708613772389451,0.18165467625899281
DoS slowloris,0.8487903225806451,0.7943396226415095,0.8206627680311891,530,0.0003288161304040931,0.20566037735849058
FTP-Patator,0.8774271844660194,0.9958677685950413,0.9329032258064516,726,0.00044318655521183,0.004132231404958678
Heartbleed,0.0,0.0,0.0,0,0.0020951706098739837,
Infiltration,0.014925373134328358,1.0,0.029411764705882353,2,0.0005773798328222938,0.0
PortScan,0.9881049782868652,0.9900990099009901,0.9891009891009891,15857,0.0008883081724351864,0.009900990099009901
SSH-Patator,0.9067278287461774,0.9817880794701986,0.9427662957074722,604,0.00026752391269072045,0.018211920529801324
Web Attack � Brute Force,0.3674698795180723,0.8187919463087249,0.5072765072765073,149,0.0009191498301761266,0.18120805369127516
Web Attack � Sql Injection,0.0,0.0,0.0,1,0.004732744291837984,1.0
Web Attack � XSS,0.0,0.0,0.0,64,0.0,1.0

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_graphsage_sum,97.69160222311446,0.9723428731393879,0.9840523515433698,0.9723428731393879,228621,0.0019755090614722933,0.027657126860612103,712.9679276943,8201.53515625,2775.875,3568.65234375,1912.0
