### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,0.9998662833455907,0.9520815842561167,0.9753890366565776,251323,0.00011278089491640116,0.04791841574388337
backdoor,0.48737650933040616,0.9877641824249166,0.6527012127894157,2697,0.005263335850417573,0.012235817575083427
ddos,0.19480519480519481,0.8333333333333334,0.31578947368421056,18,0.00011587897002285806,0.16666666666666666
dos,0.0,0.0,0.0,13,4.485595631029855e-05,1.0
injection,0.18498189014599903,0.3569035697561327,0.243670302374482,27761,0.08605198522367524,0.6430964302438673
mitm,0.2328767123287671,0.5964912280701754,0.3349753694581281,57,0.00020934501179434843,0.40350877192982454
password,0.3681175136787105,0.44130595361205494,0.4014028675472661,33845,0.0511518034212931,0.5586940463879451
ransomware,0.42145922746781117,0.9859437751004017,0.5904990980156344,498,0.0012608476862322542,0.014056224899598393
scanning,0.09001075557945684,0.3665480427046263,0.14453019590911542,3653,0.025473931419667823,0.6334519572953736
xss,0.883379573772497,0.7383198416312723,0.804361968454706,215194,0.06557453925874979,0.26168015836872777

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_gat_no_sampling,82.45608987973002,0.7990688877301382,0.861309740285923,0.7990688877301382,535059,0.022325679141095758,0.20093111226986182,1833.7735164165,17682.7734375,9819.875,9343.34375,8130.0
