### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,0.9825355355065233,0.9442072552054528,0.9629901672341238,251323,0.014865931711168128,0.05579274479454725
backdoor,0.43802331308487935,0.989247311827957,0.6071916249431042,2697,0.00642983533760862,0.010752688172043012
ddos,0.17647058823529413,0.16666666666666666,0.17142857142857143,18,2.6166219037419563e-05,0.8333333333333334
dos,0.06629834254143646,0.9230769230769231,0.12371134020618556,13,0.00031586069235168564,0.07692307692307693
injection,0.12801260659992583,0.29847627967292245,0.17917806441847134,27761,0.1112600483345095,0.7015237203270775
mitm,0.20279720279720279,0.5087719298245614,0.29,57,0.00021308331557639036,0.49122807017543857
password,0.32010094809358164,0.4159846358398582,0.361797810556612,33845,0.059663137901175944,0.5840153641601418
ransomware,0.2701053799223516,0.9779116465863453,0.4232942199043893,498,0.0024618331677769235,0.02208835341365462
scanning,0.07975423167279079,0.36244182863399943,0.13073960699121162,3653,0.028748264039171557,0.6375581713660006
xss,0.8516997618645816,0.6332239746461332,0.7263897736328818,215194,0.07417816891501101,0.3667760253538667

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_gat_sampling,78.10404459537678,0.7484314813880338,0.8339731372752037,0.7484314813880338,535059,0.027952057623551796,0.25156851861196616,1419.4479215145,17757.13671875,6261.875,9716.140625,4572.0
