### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,0.9999246641275688,0.9506173330733757,0.9746477838993337,251323,6.343925339047565e-05,0.049382666926624304
backdoor,0.4670406732117812,0.9877641824249166,0.6342102130698727,2697,0.005710400066120422,0.012235817575083427
ddos,0.03571428571428571,0.05555555555555555,0.043478260869565216,18,5.046342242930916e-05,0.9444444444444444
dos,0.14634146341463414,0.9230769230769231,0.25263157894736843,13,0.0001308298725717041,0.07692307692307693
injection,0.19366653267229442,0.4685710168942041,0.27406034046856564,27761,0.10675973490926438,0.5314289831057959
mitm,0.22289156626506024,0.6491228070175439,0.33183856502242154,57,0.0002411205939417049,0.3508771929824561
password,0.3749156413850387,0.4267690944009455,0.399165411559879,33845,0.04804734105591624,0.5732309055990545
ransomware,0.40578512396694216,0.9859437751004017,0.5749414519906324,498,0.0013450289115741702,0.014056224899598393
scanning,0.10182323856613103,0.3607993430057487,0.15882388383442791,3653,0.02187781093928183,0.6392006569942513
xss,0.8954328193444586,0.7086349991170757,0.7911573660945899,215194,0.05567348725243462,0.2913650008829242

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_gcn,82.03237713057806,0.7912790925860512,0.8670261281055933,0.7912790925860512,535059,0.023191211934883195,0.20872090741394875,1482.1725802422,16860.94140625,6307.875,10226.7109375,4984.0
